2022-11-15,17:09:33.005,BT1             ,BT2             ,TT1             ,TT2             ,AT              ,X               ,Y               ,Z               ,BP1             ,BP2             ,TP1             ,TP2             ,HP              ,AP              ,PD ,PC ,HL      ,EL ,BF      ,SF   ,PF      ,BV     ,rpm             ,Setpoint ,Error ,Depth ,avg_p ,direction ,Voltage         ,State   ,Safety               ,Payload ,TestMode 
2022-11-15,17:09:33.008,Buffering (1/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (1/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (1/5) ,0  ,0  ,initial ,0  ,initial ,None ,initial ,318.82 ,Buffering (0/1) ,None     ,None  ,None  ,None  ,initial   ,Buffering (0/1) ,initial ,sleeping_weightFixed ,None    ,on       
2022-11-15,17:09:33.028,Buffering (2/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (2/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (2/5) ,2.41 ,25.00 ,initial ,0  ,nonempty ,None ,initial ,318.82 ,Buffering (0/1) ,None     ,None  ,None  ,None  ,initial   ,Buffering (0/1) ,initial ,sleeping_weightFixed ,None    ,on       
2022-11-15,17:09:37.333,24.58 ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (4/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (4/5) ,2.41 ,25.00 ,initial ,0  ,nonempty ,None ,initial ,318.19 ,Buffering (0/1) ,None     ,None  ,None  ,None  ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:09:37.878,24.58 ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,23.26 ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,1202.38 ,2.47 ,27.00 ,initial ,0  ,nonempty ,None ,initial ,318.08 ,Buffering (0/1) ,None     ,None  ,None  ,None  ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:09:38.431,24.58 ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,23.26 ,0.00 ,0.01 ,0.00 ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,1202.40 ,2.85 ,30.00 ,initial ,0  ,nonempty ,None ,initial ,318.67 ,Buffering (0/1) ,None     ,None  ,None  ,None  ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:09:38.982,24.58 ,24.12 ,25.00 ,25.06 ,23.26 ,0.00 ,0.01 ,0.00 ,9.45 ,10.17 ,10.14 ,10.25 ,1139.04 ,1202.48 ,3.11 ,21.00 ,initial ,0  ,nonempty ,None ,initial ,318.40 ,Buffering (0/1) ,None     ,None  ,None  ,10.00 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:09:39.544,24.66 ,24.13 ,25.23 ,25.30 ,23.41 ,0.00 ,0.01 ,0.00 ,9.45 ,10.17 ,10.14 ,10.25 ,1139.00 ,1200.56 ,3.81 ,0.00 ,initial ,0  ,nonempty ,None ,initial ,318.29 ,Buffering (0/1) ,None     ,None  ,None  ,10.00 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:09:40.109,24.66 ,24.13 ,25.23 ,25.30 ,23.41 ,0.00 ,0.01 ,0.00 ,9.46 ,10.17 ,10.14 ,10.25 ,1138.96 ,1200.38 ,4.53 ,0.00 ,initial ,0  ,nonempty ,None ,initial ,319.10 ,Buffering (0/1) ,None     ,None  ,None  ,10.01 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:09:40.622,24.66 ,24.13 ,25.23 ,25.30 ,23.41 ,0.00 ,0.01 ,0.00 ,9.46 ,10.17 ,10.14 ,10.26 ,1139.06 ,1200.28 ,4.60 ,0.00 ,initial ,0  ,nonempty ,None ,initial ,318.61 ,Buffering (0/1) ,None     ,None  ,None  ,10.01 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:09:41.164,24.66 ,24.13 ,25.23 ,25.30 ,23.41 ,0.00 ,0.01 ,0.00 ,9.46 ,10.17 ,10.14 ,10.25 ,1139.06 ,1200.34 ,0.00 ,0.00 ,initial ,0  ,nonempty ,None ,initial ,318.36 ,Buffering (0/1) ,None     ,None  ,None  ,10.01 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:09:41.704,24.66 ,24.13 ,25.23 ,25.31 ,23.41 ,0.00 ,0.01 ,0.00 ,9.46 ,10.17 ,10.14 ,10.25 ,1138.96 ,1200.34 ,1.85 ,50.00 ,initial ,0  ,nonempty ,None ,initial ,318.40 ,Buffering (0/1) ,None     ,None  ,None  ,10.01 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:09:42.244,24.66 ,24.14 ,25.24 ,25.31 ,23.40 ,0.00 ,0.01 ,0.00 ,9.46 ,10.17 ,10.14 ,10.25 ,1139.08 ,1200.28 ,2.15 ,21.00 ,initial ,0  ,nonempty ,None ,initial ,318.57 ,Buffering (0/1) ,None     ,None  ,None  ,10.01 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
