2022-11-15,17:10:30.725,BT1             ,BT2             ,TT1             ,TT2             ,AT              ,X               ,Y               ,Z               ,BP1             ,BP2             ,TP1             ,TP2             ,HP              ,AP              ,PD ,PC ,HL      ,EL ,BF      ,SF   ,PF      ,BV     ,rpm             ,Setpoint ,Error ,Depth ,avg_p ,direction ,Voltage         ,State   ,Safety   ,Payload ,TestMode 
2022-11-15,17:10:30.730,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (3/5) ,Buffering (2/5) ,0  ,0  ,initial ,0  ,initial ,None ,initial ,319.06 ,Buffering (0/1) ,None     ,None  ,None  ,None  ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:10:31.256,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (4/5) ,Buffering (3/5) ,1.84 ,50.00 ,initial ,0  ,nonempty ,None ,initial ,319.38 ,Buffering (0/1) ,None     ,None  ,None  ,None  ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:10:31.792,24.60 ,24.13 ,24.99 ,Buffering (4/5) ,Buffering (4/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,10.19 ,10.17 ,Buffering (4/5) ,Buffering (4/5) ,1138.80 ,Buffering (4/5) ,2.00 ,30.00 ,initial ,0  ,nonempty ,None ,initial ,318.85 ,Buffering (0/1) ,None     ,None  ,None  ,10.18 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:10:32.341,24.60 ,24.13 ,24.99 ,25.09 ,23.27 ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,10.20 ,10.17 ,10.14 ,10.25 ,1138.94 ,1201.88 ,2.46 ,35.00 ,initial ,0  ,nonempty ,None ,initial ,318.96 ,Buffering (0/1) ,None     ,None  ,None  ,10.19 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:10:32.892,24.68 ,24.14 ,25.21 ,25.34 ,23.42 ,0.00 ,0.00 ,0.00 ,10.20 ,10.17 ,10.14 ,10.25 ,1138.98 ,1199.90 ,2.77 ,44.00 ,initial ,0  ,nonempty ,None ,initial ,319.06 ,Buffering (0/1) ,None     ,None  ,None  ,10.19 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:10:33.444,24.68 ,24.14 ,25.21 ,25.34 ,23.42 ,0.00 ,0.00 ,0.00 ,10.20 ,10.17 ,10.14 ,10.25 ,1139.00 ,1199.90 ,3.00 ,64.00 ,initial ,0  ,nonempty ,None ,initial ,319.06 ,Buffering (0/1) ,None     ,None  ,None  ,10.19 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:10:34.004,24.68 ,24.14 ,25.21 ,25.34 ,23.42 ,0.00 ,0.01 ,0.00 ,10.20 ,10.17 ,10.14 ,10.25 ,1139.08 ,1199.92 ,3.10 ,19.00 ,initial ,0  ,nonempty ,None ,initial ,319.27 ,Buffering (0/1) ,None     ,None  ,None  ,10.19 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:10:34.564,24.68 ,24.14 ,25.21 ,25.34 ,23.42 ,0.00 ,0.01 ,0.00 ,10.21 ,10.17 ,10.14 ,10.25 ,1139.12 ,1199.82 ,3.94 ,0.00 ,initial ,0  ,nonempty ,None ,initial ,319.38 ,Buffering (0/1) ,None     ,None  ,None  ,10.19 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:10:35.134,24.68 ,24.14 ,25.21 ,25.34 ,23.42 ,0.00 ,0.01 ,0.00 ,10.20 ,10.17 ,10.14 ,10.25 ,1139.06 ,1199.72 ,4.66 ,0.00 ,initial ,0  ,nonempty ,None ,initial ,319.48 ,Buffering (0/1) ,None     ,None  ,None  ,10.19 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:10:35.690,24.68 ,24.14 ,25.21 ,25.34 ,23.42 ,0.00 ,0.01 ,0.00 ,10.20 ,10.17 ,10.14 ,10.25 ,1139.02 ,1199.62 ,1.77 ,53.00 ,initial ,0  ,nonempty ,None ,initial ,319.59 ,Buffering (0/1) ,None     ,None  ,None  ,10.19 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
