2022-11-15,17:23:54.315,BT1             ,BT2             ,TT1             ,TT2             ,AT              ,X               ,Y               ,Z               ,BP1   ,BP2   ,TP1             ,TP2             ,HP              ,AP              ,PD   ,PC     ,HL      ,EL ,BF      ,SF   ,PF      ,BV     ,rpm             ,Setpoint ,Error ,Depth ,avg_p ,direction ,Voltage         ,State   ,Safety   ,Payload ,TestMode 
2022-11-15,17:23:54.318,Buffering (4/5) ,Buffering (4/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,11.35 ,11.24 ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,1.41 ,100.00 ,initial ,0  ,initial ,None ,initial ,300.03 ,Buffering (0/1) ,None     ,None  ,None  ,11.29 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:23:54.840,21.73 ,21.41 ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,11.35 ,11.25 ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,1.41 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,299.52 ,Buffering (0/1) ,None     ,None  ,None  ,11.30 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:23:55.364,21.73 ,21.40 ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,0.00 ,0.01 ,0.01 ,11.35 ,11.25 ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,1.41 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,299.42 ,Buffering (0/1) ,None     ,None  ,None  ,11.30 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:23:55.915,21.73 ,21.39 ,22.09 ,22.10 ,23.94 ,0.00 ,0.01 ,0.01 ,11.34 ,11.25 ,10.30 ,10.44 ,1256.10 ,1223.22 ,1.41 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,299.32 ,Buffering (0/1) ,None     ,None  ,None  ,10.83 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:23:56.472,21.81 ,21.39 ,21.49 ,21.50 ,24.09 ,0.00 ,0.01 ,0.01 ,11.34 ,11.25 ,10.30 ,10.44 ,1256.10 ,1221.48 ,1.41 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,299.42 ,Buffering (0/1) ,None     ,None  ,None  ,10.83 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:23:57.030,21.81 ,21.40 ,21.50 ,21.50 ,24.09 ,-0.00 ,0.01 ,0.01 ,11.34 ,11.25 ,10.30 ,10.44 ,1256.16 ,1221.58 ,1.41 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,299.52 ,Buffering (0/1) ,None     ,None  ,None  ,10.83 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:23:57.585,21.81 ,21.39 ,21.50 ,21.50 ,24.09 ,-0.00 ,0.01 ,0.01 ,11.34 ,11.25 ,10.30 ,10.44 ,1256.18 ,1221.72 ,1.41 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,298.84 ,Buffering (0/1) ,None     ,None  ,None  ,10.83 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:23:58.138,21.81 ,21.39 ,21.50 ,21.51 ,24.09 ,-0.00 ,0.00 ,0.01 ,11.34 ,11.24 ,10.30 ,10.44 ,1256.22 ,1221.76 ,1.41 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,299.22 ,Buffering (0/1) ,None     ,None  ,None  ,10.83 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:23:58.698,21.81 ,21.38 ,21.50 ,21.51 ,24.09 ,-0.00 ,0.00 ,0.01 ,11.34 ,11.25 ,10.30 ,10.44 ,1256.20 ,1221.76 ,1.41 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,299.32 ,Buffering (0/1) ,None     ,None  ,None  ,10.83 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:23:59.256,21.81 ,21.37 ,21.50 ,21.51 ,24.09 ,-0.00 ,0.01 ,0.01 ,11.35 ,11.24 ,10.31 ,10.44 ,1256.22 ,1221.80 ,1.41 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,299.25 ,Buffering (0/1) ,None     ,None  ,None  ,10.83 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:23:59.818,21.82 ,21.35 ,21.50 ,21.52 ,24.10 ,-0.00 ,0.01 ,0.01 ,11.34 ,11.24 ,10.30 ,10.44 ,1256.12 ,1221.90 ,1.41 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,299.05 ,Buffering (0/1) ,None     ,None  ,None  ,10.83 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:24:00.376,21.82 ,21.34 ,21.50 ,21.52 ,24.10 ,-0.00 ,0.00 ,-0.00 ,11.36 ,11.24 ,10.30 ,10.44 ,1255.98 ,1221.86 ,1.41 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,299.05 ,Buffering (0/1) ,None     ,None  ,None  ,10.84 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
