2022-11-15,17:24:35.625,BT1             ,BT2             ,TT1             ,TT2             ,AT              ,X               ,Y               ,Z               ,BP1             ,BP2             ,TP1             ,TP2             ,HP              ,AP              ,PD ,PC ,HL      ,EL   ,BF      ,SF   ,PF      ,BV     ,rpm             ,Setpoint ,Error ,Depth ,avg_p ,direction ,Voltage         ,State   ,Safety               ,Payload ,TestMode 
2022-11-15,17:24:35.628,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (1/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (0/5) ,Buffering (1/5) ,0  ,0  ,initial ,None ,initial ,None ,initial ,295.43 ,Buffering (0/1) ,None     ,None  ,None  ,None  ,initial   ,Buffering (0/1) ,initial ,sleeping_weightFixed ,None    ,on       
2022-11-15,17:24:35.646,Buffering (0/5) ,Buffering (0/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (2/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (0/5) ,Buffering (2/5) ,1.41 ,100.00 ,initial ,None ,nonempty ,None ,initial ,295.43 ,Buffering (0/1) ,None     ,None  ,None  ,None  ,initial   ,Buffering (0/1) ,initial ,sleeping_weightFixed ,None    ,on       
2022-11-15,17:24:46.690,Buffering (3/5) ,Buffering (2/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (4/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (2/5) ,Buffering (4/5) ,1.41 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,294.18 ,Buffering (0/1) ,None     ,None  ,None  ,None  ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:24:47.211,Buffering (4/5) ,Buffering (3/5) ,Buffering (4/5) ,Buffering (4/5) ,23.96 ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (3/5) ,Buffering (3/5) ,10.31 ,10.44 ,Buffering (3/5) ,1228.28 ,1.41 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,294.38 ,Buffering (0/1) ,None     ,None  ,None  ,10.38 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:24:47.733,21.73 ,Buffering (4/5) ,21.96 ,22.04 ,23.96 ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (4/5) ,Buffering (4/5) ,10.31 ,10.44 ,Buffering (4/5) ,1228.44 ,1.41 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,294.58 ,Buffering (0/1) ,None     ,None  ,None  ,10.38 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:24:48.291,21.82 ,21.27 ,21.95 ,22.04 ,23.96 ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,11.37 ,11.25 ,10.31 ,10.44 ,1255.98 ,1228.72 ,1.41 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,293.97 ,Buffering (0/1) ,None     ,None  ,None  ,10.84 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:24:48.847,21.90 ,21.28 ,21.33 ,21.44 ,24.10 ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,11.37 ,11.25 ,10.31 ,10.44 ,1256.16 ,1226.72 ,1.41 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,294.18 ,Buffering (0/1) ,None     ,None  ,None  ,10.84 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:24:49.407,21.90 ,21.28 ,21.33 ,21.44 ,24.10 ,0.00 ,0.01 ,0.00 ,11.37 ,11.25 ,10.31 ,10.44 ,1256.10 ,1226.74 ,1.41 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,294.08 ,Buffering (0/1) ,None     ,None  ,None  ,10.84 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:24:49.961,21.90 ,21.28 ,21.33 ,21.44 ,24.10 ,0.00 ,0.01 ,0.00 ,11.36 ,11.25 ,10.31 ,10.44 ,1255.98 ,1226.86 ,1.41 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,293.77 ,Buffering (0/1) ,None     ,None  ,None  ,10.84 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:24:50.520,21.90 ,21.29 ,21.33 ,21.44 ,24.10 ,0.00 ,0.01 ,0.00 ,11.36 ,11.25 ,10.31 ,10.44 ,1255.96 ,1227.04 ,1.41 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,293.71 ,Buffering (0/1) ,None     ,None  ,None  ,10.84 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
