2022-11-15,17:26:49.834,BT1   ,BT2   ,TT1   ,TT2             ,AT              ,X               ,Y               ,Z               ,BP1   ,BP2   ,TP1             ,TP2             ,HP      ,AP              ,PD   ,PC     ,HL      ,EL ,BF      ,SF   ,PF      ,BV     ,rpm             ,Setpoint ,Error ,Depth ,avg_p ,direction ,Voltage         ,State   ,Safety   ,Payload ,TestMode 
2022-11-15,17:26:49.838,21.68 ,21.21 ,21.83 ,Buffering (2/5) ,Buffering (2/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (3/5) ,11.37 ,11.28 ,Buffering (2/5) ,Buffering (2/5) ,1258.42 ,Buffering (2/5) ,1.44 ,100.00 ,initial ,0  ,initial ,None ,initial ,286.37 ,Buffering (0/1) ,None     ,None  ,None  ,11.32 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:26:50.349,21.68 ,21.21 ,21.83 ,Buffering (3/5) ,Buffering (3/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (4/5) ,11.37 ,11.28 ,Buffering (3/5) ,Buffering (3/5) ,1258.36 ,Buffering (3/5) ,1.41 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,285.94 ,Buffering (0/1) ,None     ,None  ,None  ,11.32 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:26:50.905,21.68 ,21.21 ,21.83 ,Buffering (4/5) ,Buffering (4/5) ,Buffering (3/5) ,Buffering (3/5) ,0.03 ,11.38 ,11.28 ,Buffering (4/5) ,Buffering (4/5) ,1257.98 ,Buffering (4/5) ,1.39 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,286.37 ,Buffering (0/1) ,None     ,None  ,None  ,11.33 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:26:51.412,21.68 ,21.21 ,21.83 ,21.89 ,23.83 ,Buffering (4/5) ,Buffering (4/5) ,0.02 ,11.38 ,11.27 ,10.34 ,10.46 ,1257.34 ,1236.06 ,1.39 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,286.24 ,Buffering (0/1) ,None     ,None  ,None  ,10.86 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:26:51.940,21.75 ,21.23 ,21.25 ,21.32 ,23.95 ,-0.00 ,0.01 ,0.01 ,11.37 ,11.27 ,10.33 ,10.45 ,1256.64 ,1234.18 ,1.40 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,285.94 ,Buffering (0/1) ,None     ,None  ,None  ,10.86 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:26:52.449,21.75 ,21.23 ,21.25 ,21.32 ,23.95 ,-0.00 ,0.01 ,0.01 ,11.36 ,11.26 ,10.32 ,10.44 ,1255.88 ,1234.18 ,1.41 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,286.34 ,Buffering (0/1) ,None     ,None  ,None  ,10.84 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:26:52.977,21.75 ,21.23 ,21.25 ,21.32 ,23.95 ,0.00 ,0.00 ,0.01 ,11.35 ,11.25 ,10.32 ,10.44 ,1255.18 ,1234.12 ,1.42 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,286.24 ,Buffering (0/1) ,None     ,None  ,None  ,10.84 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:26:53.488,21.75 ,21.23 ,21.25 ,21.32 ,23.95 ,-0.00 ,0.01 ,0.01 ,11.35 ,11.25 ,10.32 ,10.44 ,1255.06 ,1234.12 ,1.43 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,286.34 ,Buffering (0/1) ,None     ,None  ,None  ,10.84 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:26:54.014,21.75 ,21.23 ,21.25 ,21.32 ,23.95 ,-0.00 ,0.01 ,0.01 ,11.36 ,11.25 ,10.32 ,10.44 ,1255.34 ,1234.04 ,1.44 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,286.64 ,Buffering (0/1) ,None     ,None  ,None  ,10.84 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:26:54.522,21.75 ,21.23 ,21.25 ,21.32 ,23.95 ,-0.01 ,0.01 ,0.01 ,11.36 ,11.25 ,10.33 ,10.45 ,1255.74 ,1233.94 ,1.43 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,286.44 ,Buffering (0/1) ,None     ,None  ,None  ,10.85 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:26:55.056,21.75 ,21.23 ,21.25 ,21.33 ,23.95 ,-0.01 ,0.01 ,0.01 ,11.37 ,11.26 ,10.33 ,10.45 ,1256.24 ,1233.94 ,1.42 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,286.34 ,Buffering (0/1) ,None     ,None  ,None  ,10.85 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:26:55.565,21.75 ,21.23 ,21.25 ,21.32 ,23.95 ,-0.00 ,0.01 ,-0.00 ,11.36 ,11.26 ,10.33 ,10.45 ,1256.42 ,1233.90 ,1.42 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,286.44 ,Buffering (0/1) ,None     ,None  ,None  ,10.85 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:26:56.093,21.75 ,21.23 ,21.25 ,21.33 ,23.95 ,-0.00 ,0.01 ,-0.00 ,11.36 ,11.26 ,10.33 ,10.45 ,1256.20 ,1233.80 ,1.42 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,286.84 ,Buffering (0/1) ,None     ,None  ,None  ,10.85 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:26:56.606,21.75 ,21.23 ,21.25 ,21.33 ,23.95 ,0.00 ,0.01 ,0.00 ,11.36 ,11.26 ,10.33 ,10.44 ,1255.78 ,1233.90 ,1.42 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,286.14 ,Buffering (0/1) ,None     ,None  ,None  ,10.85 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:26:57.134,21.75 ,21.23 ,21.25 ,21.33 ,23.95 ,0.00 ,0.01 ,0.00 ,11.35 ,11.25 ,10.32 ,10.44 ,1255.46 ,1233.88 ,1.43 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,286.50 ,Buffering (0/1) ,None     ,None  ,None  ,10.84 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:26:57.643,21.75 ,21.23 ,21.25 ,21.33 ,23.95 ,-0.00 ,0.01 ,0.00 ,11.35 ,11.25 ,10.32 ,10.44 ,1255.32 ,1233.82 ,1.43 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,286.60 ,Buffering (0/1) ,None     ,None  ,None  ,10.84 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
