2022-11-15,17:30:22.518,BT1   ,BT2    ,TT1   ,TT2   ,AT    ,X               ,Y               ,Z               ,BP1   ,BP2   ,TP1   ,TP2   ,HP      ,AP              ,PD ,PC ,HL      ,EL ,BF      ,SF   ,PF      ,BV     ,rpm             ,Setpoint ,Error ,Depth ,avg_p ,direction ,Voltage         ,State   ,Safety   ,Payload ,TestMode 
2022-11-15,17:30:22.523,21.69 ,-46.63 ,21.83 ,21.92 ,23.52 ,Buffering (1/5) ,Buffering (1/5) ,Buffering (1/5) ,11.36 ,11.26 ,10.34 ,10.45 ,1255.26 ,Buffering (2/5) ,0  ,0  ,initial ,0  ,initial ,None ,initial ,296.13 ,Buffering (0/1) ,None     ,None  ,None  ,10.85 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:30:23.028,21.69 ,-46.63 ,21.83 ,21.93 ,23.52 ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,11.36 ,11.26 ,10.34 ,10.45 ,1255.24 ,Buffering (3/5) ,1.40 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,296.20 ,Buffering (0/1) ,None     ,None  ,None  ,10.85 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:30:23.582,21.69 ,-46.63 ,21.84 ,21.93 ,23.51 ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,11.36 ,11.26 ,10.35 ,10.45 ,1255.22 ,Buffering (4/5) ,1.40 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,296.20 ,Buffering (0/1) ,None     ,None  ,None  ,10.86 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:30:24.148,21.69 ,-46.63 ,21.84 ,21.94 ,23.51 ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,11.36 ,11.26 ,10.35 ,10.45 ,1255.22 ,1224.92 ,1.40 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,296.24 ,Buffering (0/1) ,None     ,None  ,None  ,10.86 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:30:24.708,21.77 ,21.26 ,21.33 ,21.44 ,23.64 ,-0.00 ,-0.01 ,0.00 ,11.36 ,11.26 ,10.35 ,10.45 ,1255.16 ,1222.88 ,1.40 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,296.40 ,Buffering (0/1) ,None     ,None  ,None  ,10.86 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:30:25.214,21.77 ,21.26 ,21.33 ,21.45 ,23.64 ,-0.00 ,-0.01 ,0.00 ,11.37 ,11.26 ,10.35 ,10.45 ,1255.18 ,1222.96 ,1.40 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,295.69 ,Buffering (0/1) ,None     ,None  ,None  ,10.86 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:30:25.738,21.77 ,21.26 ,21.33 ,21.45 ,23.64 ,-0.00 ,-0.00 ,0.00 ,11.37 ,11.26 ,10.35 ,10.45 ,1255.24 ,1222.96 ,1.40 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,296.20 ,Buffering (0/1) ,None     ,None  ,None  ,10.86 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:30:26.241,21.77 ,21.26 ,21.33 ,21.45 ,23.64 ,-0.00 ,-0.00 ,0.00 ,11.38 ,11.26 ,10.34 ,10.45 ,1255.26 ,1222.96 ,1.40 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,296.24 ,Buffering (0/1) ,None     ,None  ,None  ,10.86 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:30:26.765,21.77 ,21.26 ,21.33 ,21.45 ,23.64 ,-0.00 ,0.00 ,0.00 ,11.38 ,11.26 ,10.34 ,10.45 ,1255.38 ,1222.96 ,1.40 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,296.20 ,Buffering (0/1) ,None     ,None  ,None  ,10.86 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:30:27.268,21.77 ,21.26 ,21.34 ,21.45 ,23.64 ,-0.00 ,0.00 ,0.00 ,11.38 ,11.26 ,10.34 ,10.45 ,1255.48 ,1223.02 ,1.40 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,296.13 ,Buffering (0/1) ,None     ,None  ,None  ,10.86 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
