2022-11-15,17:56:34.645,BT1             ,BT2             ,TT1             ,TT2             ,AT              ,X               ,Y               ,Z               ,BP1             ,BP2             ,TP1             ,TP2             ,HP              ,AP              ,PD ,PC     ,HL      ,EL ,BF      ,SF   ,PF      ,BV     ,rpm             ,Setpoint ,Error ,Depth ,avg_p ,direction ,Voltage         ,State   ,Safety   ,Payload ,TestMode 
2022-11-15,17:56:34.650,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,0  ,100.00 ,initial ,0  ,initial ,None ,initial ,435.82 ,Buffering (0/1) ,None     ,None  ,None  ,None  ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:56:35.178,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,1.43 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,435.70 ,Buffering (0/1) ,None     ,None  ,None  ,None  ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:56:35.742,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,1.43 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,435.95 ,Buffering (0/1) ,None     ,None  ,None  ,None  ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:56:36.245,21.79 ,21.33 ,21.23 ,21.30 ,21.02 ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,11.57 ,11.21 ,10.27 ,10.40 ,1498.90 ,1091.98 ,1.43 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,435.70 ,Buffering (0/1) ,None     ,None  ,None  ,10.86 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:56:36.773,21.87 ,21.34 ,21.22 ,21.31 ,21.12 ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,11.56 ,11.21 ,10.27 ,10.40 ,1498.96 ,1089.96 ,1.43 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,436.16 ,Buffering (0/1) ,None     ,None  ,None  ,10.86 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:56:37.334,21.87 ,21.34 ,21.23 ,21.31 ,21.12 ,0.01 ,-0.00 ,0.00 ,11.57 ,11.21 ,10.27 ,10.40 ,1499.00 ,1089.94 ,1.43 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,435.95 ,Buffering (0/1) ,None     ,None  ,None  ,10.86 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:56:37.849,21.87 ,21.34 ,21.23 ,21.31 ,21.12 ,0.01 ,-0.00 ,0.00 ,11.58 ,11.21 ,10.27 ,10.40 ,1499.10 ,1089.98 ,1.42 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,435.44 ,Buffering (0/1) ,None     ,None  ,None  ,10.87 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:56:38.376,21.87 ,21.34 ,21.23 ,21.31 ,21.12 ,0.00 ,-0.00 ,0.01 ,11.58 ,11.21 ,10.27 ,10.40 ,1499.12 ,1090.00 ,1.42 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,435.82 ,Buffering (0/1) ,None     ,None  ,None  ,10.87 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:56:38.884,21.87 ,21.34 ,21.23 ,21.31 ,21.12 ,0.00 ,-0.00 ,0.01 ,11.60 ,11.21 ,10.27 ,10.40 ,1499.06 ,1089.96 ,1.42 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,435.91 ,Buffering (0/1) ,None     ,None  ,None  ,10.87 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:56:39.407,21.87 ,21.34 ,21.22 ,21.31 ,21.12 ,-0.00 ,-0.00 ,0.01 ,11.60 ,11.21 ,10.27 ,10.40 ,1499.12 ,1090.16 ,1.42 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,434.94 ,Buffering (0/1) ,None     ,None  ,None  ,10.87 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
