2022-11-15,17:58:44.780,BT1             ,BT2             ,TT1             ,TT2             ,AT              ,X               ,Y               ,Z               ,BP1             ,BP2             ,TP1             ,TP2             ,HP              ,AP              ,PD ,PC     ,HL      ,EL ,BF      ,SF   ,PF      ,BV     ,rpm             ,Setpoint ,Error ,Depth ,avg_p ,direction ,Voltage         ,State   ,Safety               ,Payload ,TestMode 
2022-11-15,17:58:44.783,Buffering (1/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (1/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (1/5) ,0  ,100.00 ,initial ,0  ,initial ,None ,initial ,476.17 ,Buffering (0/1) ,None     ,None  ,None  ,None  ,initial   ,Buffering (0/1) ,initial ,sleeping_weightFixed ,None    ,on       
2022-11-15,17:58:49.782,Buffering (4/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (3/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (3/5) ,1.38 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,471.11 ,Buffering (0/1) ,None     ,None  ,None  ,None  ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:58:50.318,21.68 ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (4/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (4/5) ,1.40 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,471.11 ,Buffering (0/1) ,None     ,None  ,None  ,None  ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:58:50.878,21.68 ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,22.44 ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,1068.52 ,1.41 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,470.84 ,Buffering (0/1) ,None     ,None  ,None  ,None  ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:58:51.443,21.68 ,21.23 ,21.66 ,21.72 ,22.44 ,0.01 ,0.01 ,-0.01 ,11.52 ,11.24 ,10.32 ,10.43 ,1668.78 ,1069.28 ,1.43 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,471.11 ,Buffering (0/1) ,None     ,None  ,None  ,10.88 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:58:51.953,21.75 ,21.24 ,21.30 ,21.36 ,22.46 ,0.01 ,0.01 ,-0.01 ,11.51 ,11.25 ,10.33 ,10.44 ,1663.58 ,1067.80 ,1.45 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,470.75 ,Buffering (0/1) ,None     ,None  ,None  ,10.88 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:58:52.476,21.75 ,21.24 ,21.30 ,21.37 ,22.46 ,0.00 ,0.01 ,0.00 ,11.52 ,11.24 ,10.32 ,10.44 ,1661.20 ,1067.84 ,1.45 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,470.88 ,Buffering (0/1) ,None     ,None  ,None  ,10.88 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:58:52.983,21.75 ,21.24 ,21.31 ,21.37 ,22.47 ,0.00 ,0.01 ,0.00 ,11.51 ,11.25 ,10.33 ,10.44 ,1659.66 ,1067.82 ,1.44 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,471.28 ,Buffering (0/1) ,None     ,None  ,None  ,10.88 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:58:53.512,21.76 ,21.24 ,21.31 ,21.38 ,22.47 ,0.00 ,0.01 ,0.00 ,11.53 ,11.25 ,10.34 ,10.45 ,1658.66 ,1067.84 ,1.43 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,470.75 ,Buffering (0/1) ,None     ,None  ,None  ,10.89 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:58:54.024,21.76 ,21.24 ,21.32 ,21.38 ,22.47 ,0.00 ,0.01 ,0.00 ,11.52 ,11.26 ,10.34 ,10.45 ,1657.52 ,1067.90 ,1.42 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,470.75 ,Buffering (0/1) ,None     ,None  ,None  ,10.89 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:58:54.553,21.76 ,21.24 ,21.32 ,21.38 ,22.47 ,0.00 ,0.02 ,0.00 ,11.53 ,11.26 ,10.35 ,10.45 ,1656.16 ,1067.96 ,1.41 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,470.35 ,Buffering (0/1) ,None     ,None  ,None  ,10.90 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:58:55.063,21.76 ,21.24 ,21.32 ,21.38 ,22.47 ,0.00 ,0.02 ,0.00 ,11.52 ,11.26 ,10.34 ,10.45 ,1654.24 ,1068.06 ,1.42 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,470.22 ,Buffering (0/1) ,None     ,None  ,None  ,10.89 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:58:55.590,21.76 ,21.24 ,21.32 ,21.38 ,22.47 ,-0.01 ,0.01 ,0.01 ,11.51 ,11.25 ,10.34 ,10.45 ,1652.28 ,1068.08 ,1.43 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,471.19 ,Buffering (0/1) ,None     ,None  ,None  ,10.89 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:58:56.104,21.76 ,21.24 ,21.32 ,21.38 ,22.47 ,-0.01 ,0.01 ,0.01 ,11.50 ,11.25 ,10.33 ,10.44 ,1650.34 ,1068.08 ,1.43 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,470.79 ,Buffering (0/1) ,None     ,None  ,None  ,10.88 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:58:56.634,21.76 ,21.24 ,21.32 ,21.38 ,22.47 ,-0.00 ,0.01 ,0.01 ,11.50 ,11.25 ,10.33 ,10.45 ,1648.80 ,1068.12 ,1.43 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,470.52 ,Buffering (0/1) ,None     ,None  ,None  ,10.88 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:58:57.148,21.76 ,21.24 ,21.32 ,21.38 ,22.47 ,-0.00 ,0.01 ,0.01 ,11.49 ,11.25 ,10.33 ,10.45 ,1647.54 ,1068.12 ,1.43 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,470.39 ,Buffering (0/1) ,None     ,None  ,None  ,10.88 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:58:57.672,21.76 ,21.24 ,21.32 ,21.38 ,22.47 ,-0.01 ,0.01 ,0.01 ,11.50 ,11.25 ,10.33 ,10.45 ,1646.46 ,1068.14 ,1.43 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,470.12 ,Buffering (0/1) ,None     ,None  ,None  ,10.88 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:58:58.183,21.76 ,21.24 ,21.32 ,21.38 ,22.47 ,-0.01 ,0.01 ,0.01 ,11.50 ,11.26 ,10.33 ,10.45 ,1645.38 ,1068.26 ,1.43 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,470.39 ,Buffering (0/1) ,None     ,None  ,None  ,10.88 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:58:58.708,21.76 ,21.24 ,21.32 ,21.38 ,22.47 ,-0.00 ,0.01 ,0.00 ,11.50 ,11.26 ,10.33 ,10.45 ,1644.20 ,1068.30 ,1.43 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,470.52 ,Buffering (0/1) ,None     ,None  ,None  ,10.88 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:58:59.217,21.76 ,21.24 ,21.32 ,21.38 ,22.47 ,-0.00 ,0.01 ,0.00 ,11.50 ,11.25 ,10.33 ,10.45 ,1642.90 ,1068.30 ,1.43 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,470.52 ,Buffering (0/1) ,None     ,None  ,None  ,10.88 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:58:59.739,21.76 ,21.25 ,21.32 ,21.38 ,22.47 ,-0.00 ,0.01 ,0.00 ,11.51 ,11.25 ,10.33 ,10.45 ,1641.66 ,1068.32 ,1.43 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,470.30 ,Buffering (0/1) ,None     ,None  ,None  ,10.88 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:59:00.256,21.76 ,21.25 ,21.32 ,21.38 ,22.47 ,0.00 ,0.01 ,0.00 ,11.50 ,11.25 ,10.33 ,10.45 ,1640.58 ,1068.28 ,1.43 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,470.43 ,Buffering (0/1) ,None     ,None  ,None  ,10.88 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:59:00.785,21.76 ,21.25 ,21.32 ,21.38 ,22.48 ,0.00 ,0.01 ,0.00 ,11.50 ,11.25 ,10.33 ,10.45 ,1639.56 ,1068.44 ,1.44 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,469.37 ,Buffering (0/1) ,None     ,None  ,None  ,10.88 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
