2022-11-15,17:59:51.462,BT1             ,BT2             ,TT1             ,TT2             ,AT    ,X               ,Y               ,Z               ,BP1             ,BP2             ,TP1             ,TP2   ,HP              ,AP              ,PD ,PC ,HL      ,EL ,BF      ,SF   ,PF      ,BV     ,rpm             ,Setpoint ,Error ,Depth ,avg_p ,direction ,Voltage         ,State   ,Safety   ,Payload ,TestMode 
2022-11-15,17:59:51.467,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,22.50 ,Buffering (1/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,10.44 ,Buffering (4/5) ,Buffering (2/5) ,0  ,0  ,initial ,0  ,initial ,None ,initial ,467.54 ,Buffering (0/1) ,None     ,None  ,None  ,10.44 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:59:51.983,21.69 ,-86.08 ,21.77 ,21.75 ,22.50 ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,11.51 ,11.25 ,10.33 ,10.44 ,1599.50 ,Buffering (3/5) ,1.43 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,467.41 ,Buffering (0/1) ,None     ,None  ,None  ,10.88 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:59:52.543,21.69 ,-86.08 ,21.77 ,21.75 ,22.50 ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,11.51 ,11.25 ,10.33 ,10.44 ,1598.84 ,Buffering (4/5) ,1.43 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,467.72 ,Buffering (0/1) ,None     ,None  ,None  ,10.88 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:59:53.106,21.69 ,-86.08 ,21.78 ,21.75 ,22.50 ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,11.52 ,11.25 ,10.33 ,10.44 ,1598.26 ,1072.80 ,1.43 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,467.58 ,Buffering (0/1) ,None     ,None  ,None  ,10.88 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:59:53.662,21.77 ,21.25 ,21.45 ,21.41 ,22.55 ,0.00 ,-0.01 ,0.00 ,11.51 ,11.25 ,10.33 ,10.44 ,1597.86 ,1070.78 ,1.43 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,467.06 ,Buffering (0/1) ,None     ,None  ,None  ,10.88 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:59:54.166,21.77 ,21.25 ,21.45 ,21.42 ,22.55 ,0.00 ,-0.01 ,0.00 ,11.50 ,11.25 ,10.33 ,10.44 ,1597.60 ,1070.84 ,1.43 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,467.15 ,Buffering (0/1) ,None     ,None  ,None  ,10.88 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:59:54.697,21.77 ,21.25 ,21.45 ,21.42 ,22.55 ,0.01 ,-0.01 ,-0.00 ,11.50 ,11.25 ,10.33 ,10.44 ,1597.38 ,1070.84 ,1.42 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,467.41 ,Buffering (0/1) ,None     ,None  ,None  ,10.88 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:59:55.198,21.78 ,21.25 ,21.45 ,21.42 ,22.54 ,0.01 ,-0.01 ,-0.00 ,11.49 ,11.25 ,10.33 ,10.44 ,1597.20 ,1070.92 ,1.42 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,467.15 ,Buffering (0/1) ,None     ,None  ,None  ,10.88 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:59:55.722,21.78 ,21.25 ,21.46 ,21.41 ,22.54 ,0.01 ,-0.00 ,-0.00 ,11.49 ,11.25 ,10.33 ,10.44 ,1596.96 ,1070.98 ,1.42 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,467.15 ,Buffering (0/1) ,None     ,None  ,None  ,10.88 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
2022-11-15,17:59:56.274,21.77 ,21.25 ,21.46 ,21.42 ,22.54 ,0.01 ,-0.00 ,-0.00 ,11.49 ,11.25 ,10.33 ,10.44 ,1596.88 ,1070.84 ,1.42 ,100.00 ,initial ,0  ,nonempty ,None ,initial ,467.98 ,Buffering (0/1) ,None     ,None  ,None  ,10.88 ,initial   ,Buffering (0/1) ,initial ,sleeping ,None    ,on       
