2021-10-24 11:11:49,472,BT1             ,BT2             ,TT1             ,TT2             ,AT              ,X               ,Y               ,Z               ,BP1             ,BP2             ,TP1             ,TP2             ,HP              ,AP              ,PD   ,PC     ,HL ,EL ,BF ,SF   ,PF   ,BV     ,rpm             ,State ,MissionState ,Setpoint ,Error ,Depth 
2021-10-24 11:11:49,473,Buffering (3/5) ,Buffering (4/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (4/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,1.51 ,100.00 ,0  ,0  ,0  ,None ,None ,608.69 ,Buffering (0/1) ,INIT  ,IDLE         ,None     ,None  ,None  
2021-10-24 11:11:49,996,Buffering (4/5) ,-42.32 ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,11.22 ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,1.51 ,100.00 ,0  ,0  ,0  ,None ,None ,608.60 ,Buffering (0/1) ,WAIT_FOR_SENSOR_BUFFER ,IDLE         ,None     ,None  ,None  
2021-10-24 11:11:50,516,24.41 ,-42.31 ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,11.22 ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,1.51 ,100.00 ,0  ,0  ,0  ,None ,None ,608.60 ,Buffering (0/1) ,WAIT_FOR_SENSOR_BUFFER ,IDLE         ,None     ,None  ,None  
2021-10-24 11:11:51,067,24.41 ,-42.31 ,24.36 ,24.35 ,24.47 ,-0.01 ,-0.00 ,0.00 ,11.22 ,11.45 ,10.29 ,10.44 ,1542.58 ,6341.76 ,1.51 ,100.00 ,0  ,0  ,0  ,None ,None ,608.67 ,Buffering (0/1) ,WAIT_FOR_SENSOR_BUFFER ,IDLE         ,None     ,None  ,10.85 
2021-10-24 11:11:51,622,24.49 ,23.98 ,24.12 ,24.11 ,24.65 ,-0.01 ,0.00 ,0.01 ,11.22 ,11.45 ,10.29 ,10.44 ,1542.76 ,6339.40 ,1.51 ,100.00 ,0  ,0  ,0  ,None ,None ,608.78 ,Buffering (0/1) ,CALIBRATE_DEPTH_SENSORS ,IDLE         ,None     ,None  ,10.85 
2021-10-24 11:11:52,178,24.49 ,23.97 ,24.12 ,24.11 ,24.65 ,-0.01 ,0.00 ,0.01 ,11.22 ,11.45 ,10.29 ,10.44 ,1542.80 ,6339.34 ,1.51 ,100.00 ,0  ,0  ,0  ,None ,None ,608.76 ,Buffering (0/1) ,CALIBRATE_DEPTH_SENSORS ,IDLE         ,None     ,None  ,0.00  
2021-10-24 11:11:52,737,24.49 ,23.96 ,24.11 ,24.11 ,24.65 ,-0.02 ,0.00 ,0.01 ,11.22 ,11.45 ,10.29 ,10.44 ,1542.76 ,6339.20 ,1.51 ,100.00 ,0  ,0  ,0  ,None ,None ,608.76 ,Buffering (0/1) ,WAIT_FOR_WATER ,IDLE         ,None     ,None  ,0.00  
2021-10-24 11:11:53,296,24.49 ,23.96 ,24.11 ,24.11 ,24.65 ,-0.02 ,0.00 ,0.01 ,11.22 ,11.45 ,10.29 ,10.44 ,1542.78 ,6339.04 ,1.51 ,100.00 ,0  ,0  ,0  ,None ,None ,608.78 ,Buffering (0/1) ,WAIT_FOR_WATER ,IDLE         ,None     ,None  ,0.00  
2021-10-24 11:11:53,851,24.49 ,23.95 ,24.10 ,24.11 ,24.65 ,-0.01 ,0.00 ,0.01 ,11.22 ,11.45 ,10.29 ,10.44 ,1542.82 ,6338.94 ,1.51 ,100.00 ,0  ,0  ,0  ,None ,None ,608.73 ,Buffering (0/1) ,WAIT_FOR_WATER ,IDLE         ,None     ,None  ,0.00  
2021-10-24 11:11:54,404,24.49 ,23.95 ,24.10 ,24.11 ,24.65 ,-0.01 ,0.00 ,0.01 ,11.22 ,11.45 ,10.29 ,10.44 ,1542.88 ,6338.84 ,1.51 ,100.00 ,0  ,0  ,0  ,None ,None ,608.89 ,Buffering (0/1) ,WAIT_FOR_WATER ,IDLE         ,None     ,None  ,0.00  
