2021-10-24 11:41:21,868,BT1             ,BT2             ,TT1             ,TT2             ,AT    ,X               ,Y               ,Z               ,BP1             ,BP2             ,TP1   ,TP2   ,HP              ,AP              ,PD ,PC ,HL ,EL ,BF   ,SF   ,PF   ,BV    ,rpm             ,State ,MissionState ,Setpoint ,Error ,Depth 
2021-10-24 11:41:21,869,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,24.66 ,Buffering (1/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (4/5) ,Buffering (4/5) ,10.94 ,11.18 ,Buffering (4/5) ,Buffering (2/5) ,0  ,0  ,0  ,0  ,None ,None ,None ,63.47 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,None  
2021-10-24 11:41:22,388,24.44 ,-83.94 ,24.29 ,24.36 ,24.65 ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,11.96 ,12.17 ,10.93 ,11.17 ,1226.50 ,Buffering (3/5) ,0.73 ,100.00 ,0  ,0  ,0  ,None ,None ,63.46 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,11.56 
2021-10-24 11:41:22,886,24.44 ,-83.94 ,24.28 ,24.35 ,24.65 ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,11.95 ,12.15 ,10.91 ,11.16 ,1225.28 ,Buffering (4/5) ,0.74 ,100.00 ,0  ,0  ,0  ,None ,None ,63.61 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,11.54 
2021-10-24 11:41:23,443,24.43 ,-83.94 ,24.28 ,24.35 ,24.64 ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,11.93 ,12.14 ,10.90 ,11.15 ,1224.08 ,10441.88 ,0.74 ,100.00 ,0  ,0  ,0  ,None ,None ,63.61 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,11.53 
2021-10-24 11:41:24,000,24.51 ,23.93 ,23.90 ,23.99 ,24.72 ,0.00 ,-0.00 ,0.00 ,11.92 ,12.13 ,10.88 ,11.13 ,1223.06 ,10438.54 ,0.75 ,100.00 ,0  ,0  ,0  ,None ,None ,63.62 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,11.52 
2021-10-24 11:41:24,549,24.50 ,23.93 ,23.91 ,23.99 ,24.71 ,0.00 ,-0.00 ,0.00 ,11.91 ,12.12 ,10.88 ,11.13 ,1222.42 ,10437.84 ,0.76 ,100.00 ,0  ,0  ,0  ,None ,None ,63.73 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,11.51 
2021-10-24 11:41:25,101,24.50 ,23.94 ,23.91 ,23.99 ,24.71 ,0.01 ,-0.00 ,0.00 ,11.91 ,12.11 ,10.87 ,11.12 ,1221.92 ,10437.08 ,0.76 ,100.00 ,0  ,0  ,0  ,None ,None ,63.75 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,11.50 
2021-10-24 11:41:25,653,24.50 ,23.94 ,23.91 ,23.99 ,24.71 ,0.01 ,-0.00 ,0.00 ,11.90 ,12.11 ,10.86 ,11.12 ,1221.48 ,10436.50 ,0.77 ,100.00 ,0  ,0  ,0  ,None ,None ,63.82 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,11.50 
2021-10-24 11:41:26,208,24.50 ,23.94 ,23.91 ,23.98 ,24.71 ,0.01 ,-0.00 ,0.00 ,11.89 ,12.10 ,10.86 ,11.11 ,1220.76 ,10435.82 ,0.78 ,100.00 ,0  ,0  ,0  ,None ,None ,63.86 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,11.49 
2021-10-24 11:41:26,760,24.50 ,23.94 ,23.91 ,23.98 ,24.71 ,0.01 ,-0.00 ,0.00 ,11.89 ,12.09 ,10.85 ,11.11 ,1220.24 ,10435.18 ,0.79 ,100.00 ,0  ,0  ,0  ,None ,None ,63.88 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,11.48 
2021-10-24 11:41:27,313,24.50 ,23.93 ,23.91 ,23.98 ,24.71 ,0.01 ,0.00 ,0.00 ,11.88 ,12.09 ,10.85 ,11.10 ,1219.78 ,10434.60 ,0.79 ,100.00 ,0  ,0  ,0  ,None ,None ,63.96 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,11.48 
2021-10-24 11:41:27,866,24.50 ,23.93 ,23.91 ,23.97 ,24.71 ,0.01 ,0.00 ,0.00 ,11.87 ,12.08 ,10.84 ,11.09 ,1219.36 ,10433.84 ,0.80 ,100.00 ,0  ,0  ,0  ,None ,None ,64.03 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,11.47 
2021-10-24 11:41:28,419,24.50 ,23.92 ,23.91 ,23.97 ,24.71 ,0.01 ,0.00 ,0.00 ,11.87 ,12.07 ,10.84 ,11.08 ,1218.82 ,10433.16 ,0.80 ,100.00 ,0  ,0  ,0  ,None ,None ,64.07 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,11.46 
2021-10-24 11:41:28,975,24.50 ,23.92 ,23.91 ,23.97 ,24.71 ,0.01 ,0.00 ,0.00 ,11.86 ,12.07 ,10.83 ,11.08 ,1218.50 ,10432.44 ,0.81 ,100.00 ,0  ,0  ,0  ,None ,None ,64.13 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,11.46 
