2021-10-24 11:43:07,708,BT1             ,BT2             ,TT1             ,TT2             ,AT              ,X               ,Y               ,Z               ,BP1             ,BP2             ,TP1             ,TP2             ,HP              ,AP              ,PD ,PC ,HL ,EL ,BF   ,SF   ,PF   ,BV    ,rpm             ,State ,MissionState ,Setpoint ,Error ,Depth 
2021-10-24 11:43:07,709,Buffering (2/5) ,Buffering (1/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,0  ,0  ,0  ,0  ,None ,None ,None ,73.24 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,None  
2021-10-24 11:43:08,243,Buffering (3/5) ,Buffering (2/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,1.38 ,100.00 ,0  ,0  ,0  ,None ,None ,73.27 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,None  
2021-10-24 11:43:08,762,Buffering (4/5) ,Buffering (3/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,1.38 ,100.00 ,0  ,0  ,0  ,None ,None ,73.30 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,None  
2021-10-24 11:43:09,324,24.40 ,Buffering (4/5) ,24.39 ,24.38 ,24.52 ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,11.27 ,11.47 ,10.23 ,10.49 ,1169.30 ,10316.98 ,1.38 ,100.00 ,0  ,0  ,0  ,None ,None ,73.38 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.87 
2021-10-24 11:43:09,872,24.48 ,23.94 ,24.06 ,24.04 ,24.57 ,0.00 ,-0.01 ,0.00 ,11.27 ,11.47 ,10.23 ,10.49 ,1169.24 ,10313.76 ,1.38 ,100.00 ,0  ,0  ,0  ,None ,None ,73.41 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.87 
2021-10-24 11:43:10,433,24.48 ,23.94 ,24.06 ,24.04 ,24.56 ,0.00 ,0.00 ,0.00 ,11.27 ,11.47 ,10.23 ,10.49 ,1169.38 ,10313.16 ,1.38 ,100.00 ,0  ,0  ,0  ,None ,None ,73.47 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.87 
2021-10-24 11:43:10,937,24.48 ,23.94 ,24.06 ,24.03 ,24.56 ,0.00 ,0.00 ,0.00 ,11.27 ,11.48 ,10.23 ,10.49 ,1169.42 ,10312.52 ,1.38 ,100.00 ,0  ,0  ,0  ,None ,None ,73.51 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.87 
2021-10-24 11:43:11,463,24.48 ,23.95 ,24.06 ,24.03 ,24.56 ,0.00 ,0.00 ,0.00 ,11.27 ,11.48 ,10.23 ,10.49 ,1169.36 ,10311.98 ,1.38 ,100.00 ,0  ,0  ,0  ,None ,None ,73.55 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.87 
2021-10-24 11:43:11,967,24.48 ,23.94 ,24.06 ,24.03 ,24.56 ,0.00 ,0.00 ,0.00 ,11.27 ,11.48 ,10.23 ,10.49 ,1169.28 ,10311.40 ,1.38 ,100.00 ,0  ,0  ,0  ,None ,None ,73.62 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.87 
2021-10-24 11:43:12,489,24.48 ,23.94 ,24.06 ,24.04 ,24.56 ,0.01 ,0.00 ,0.00 ,11.27 ,11.48 ,10.23 ,10.49 ,1169.48 ,10310.94 ,1.38 ,100.00 ,0  ,0  ,0  ,None ,None ,73.60 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.87 
2021-10-24 11:43:12,996,24.48 ,23.94 ,24.06 ,24.04 ,24.56 ,0.01 ,0.00 ,0.00 ,11.27 ,11.48 ,10.23 ,10.49 ,1169.52 ,10310.34 ,1.38 ,100.00 ,0  ,0  ,0  ,None ,None ,73.72 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.87 
