2021-10-24 11:48:08,332,BT1             ,BT2             ,TT1   ,TT2   ,AT    ,X               ,Y               ,Z               ,BP1   ,BP2   ,TP1   ,TP2   ,HP      ,AP              ,PD ,PC ,HL ,EL ,BF   ,SF   ,PF   ,BV     ,rpm             ,State ,MissionState ,Setpoint ,Error ,Depth 
2021-10-24 11:48:08,334,Buffering (4/5) ,Buffering (4/5) ,24.42 ,24.49 ,24.33 ,Buffering (1/5) ,Buffering (1/5) ,Buffering (1/5) ,11.14 ,11.34 ,10.10 ,10.36 ,1546.94 ,Buffering (2/5) ,0  ,0  ,0  ,0  ,None ,None ,None ,582.30 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.73 
2021-10-24 11:48:08,830,24.47 ,-83.87 ,24.41 ,24.48 ,24.33 ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,11.14 ,11.34 ,10.10 ,10.36 ,1547.24 ,Buffering (3/5) ,1.51 ,100.00 ,0  ,0  ,0  ,None ,None ,582.24 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.73 
2021-10-24 11:48:09,386,24.47 ,-83.87 ,24.40 ,24.48 ,24.33 ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,11.14 ,11.34 ,10.10 ,10.36 ,1547.42 ,Buffering (4/5) ,1.51 ,100.00 ,0  ,0  ,0  ,None ,None ,582.38 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.73 
2021-10-24 11:48:09,949,24.47 ,-83.87 ,24.39 ,24.47 ,24.33 ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,11.14 ,11.34 ,10.10 ,10.36 ,1547.80 ,6456.72 ,1.51 ,100.00 ,0  ,0  ,0  ,None ,None ,582.28 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.73 
2021-10-24 11:48:10,457,24.55 ,24.01 ,24.19 ,24.28 ,24.30 ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,11.14 ,11.34 ,10.10 ,10.36 ,1547.94 ,6454.40 ,1.51 ,100.00 ,0  ,0  ,0  ,None ,None ,582.36 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.73 
2021-10-24 11:48:10,983,24.55 ,24.01 ,24.19 ,24.28 ,24.30 ,0.00 ,0.00 ,0.00 ,11.14 ,11.34 ,10.10 ,10.36 ,1548.12 ,6454.20 ,1.51 ,100.00 ,0  ,0  ,0  ,None ,None ,582.51 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.73 
2021-10-24 11:48:11,493,24.55 ,24.01 ,24.19 ,24.28 ,24.30 ,0.00 ,0.00 ,0.00 ,11.14 ,11.34 ,10.10 ,10.36 ,1548.16 ,6454.04 ,1.51 ,100.00 ,0  ,0  ,0  ,None ,None ,582.45 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.73 
2021-10-24 11:48:12,024,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,0  ,0  ,None ,None ,None ,None ,None ,0  ,Buffering (0/1) ,INIT  ,IDLE         ,None     ,None  ,10.73 
2021-10-24 11:48:12,523,Buffering (1/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (1/5) ,1.51 ,100.00 ,0  ,0  ,0  ,None ,None ,582.47 ,Buffering (0/1) ,WAIT_FOR_SENSOR_BUFFER ,IDLE         ,None     ,None  ,10.73 
2021-10-24 11:48:13,051,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,1.51 ,100.00 ,0  ,0  ,0  ,None ,None ,582.51 ,Buffering (0/1) ,WAIT_FOR_SENSOR_BUFFER ,IDLE         ,None     ,None  ,10.73 
