2021-10-24 11:52:40,741,BT1             ,BT2             ,TT1             ,TT2             ,AT              ,X               ,Y               ,Z               ,BP1             ,BP2             ,TP1             ,TP2             ,HP              ,AP              ,PD ,PC ,HL   ,EL   ,BF   ,SF   ,PF   ,BV    ,rpm             ,State ,MissionState ,Setpoint ,Error ,Depth 
2021-10-24 11:52:40,742,Buffering (0/5) ,Buffering (0/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (0/5) ,Buffering (1/5) ,0  ,0  ,None ,None ,None ,None ,None ,59.36 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,None  
2021-10-24 11:52:40,889,Buffering (0/5) ,Buffering (0/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (0/5) ,Buffering (2/5) ,3.03 ,100.00 ,None ,None ,0  ,None ,None ,59.36 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,None  
2021-10-24 11:52:45,714,Buffering (2/5) ,Buffering (2/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (2/5) ,Buffering (4/5) ,3.03 ,100.00 ,0  ,0  ,0  ,None ,None ,59.87 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,None  
2021-10-24 11:52:46,229,Buffering (3/5) ,Buffering (3/5) ,24.37 ,24.47 ,25.10 ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (3/5) ,Buffering (3/5) ,11.42 ,11.69 ,Buffering (3/5) ,10508.18 ,3.02 ,33.00 ,0  ,0  ,0  ,None ,None ,59.94 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,None  
2021-10-24 11:52:46,765,Buffering (4/5) ,Buffering (4/5) ,24.37 ,24.46 ,25.09 ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (4/5) ,Buffering (4/5) ,11.43 ,11.69 ,Buffering (4/5) ,10506.16 ,3.28 ,33.00 ,0  ,0  ,0  ,None ,None ,60.03 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,None  
2021-10-24 11:52:47,330,24.41 ,-81.63 ,24.36 ,24.46 ,25.08 ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,12.48 ,12.68 ,11.43 ,11.69 ,1275.14 ,10504.14 ,3.02 ,33.00 ,0  ,0  ,0  ,None ,None ,60.00 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,12.07 
2021-10-24 11:52:47,876,24.49 ,23.92 ,23.93 ,24.06 ,25.22 ,-0.00 ,0.00 ,0.00 ,12.48 ,12.68 ,11.43 ,11.69 ,1275.24 ,10500.38 ,3.01 ,66.00 ,0  ,0  ,0  ,None ,None ,60.15 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,12.07 
2021-10-24 11:52:48,385,24.49 ,23.92 ,23.93 ,24.06 ,25.22 ,-0.00 ,0.00 ,0.00 ,12.48 ,12.67 ,11.43 ,11.69 ,1275.18 ,10499.46 ,3.02 ,83.00 ,0  ,0  ,0  ,None ,None ,60.20 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,12.07 
2021-10-24 11:52:48,918,24.49 ,23.93 ,23.92 ,24.06 ,25.21 ,-0.00 ,0.00 ,0.00 ,12.48 ,12.67 ,11.42 ,11.68 ,1275.06 ,10498.46 ,3.03 ,83.00 ,0  ,0  ,0  ,None ,None ,60.27 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,12.06 
2021-10-24 11:52:49,433,24.49 ,23.93 ,23.92 ,24.06 ,25.21 ,-0.00 ,0.00 ,0.00 ,12.47 ,12.67 ,11.42 ,11.68 ,1274.96 ,10497.62 ,3.39 ,83.00 ,0  ,0  ,0  ,None ,None ,60.29 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,12.06 
2021-10-24 11:52:49,968,24.49 ,23.93 ,23.92 ,24.06 ,25.20 ,-0.00 ,0.00 ,0.00 ,12.47 ,12.66 ,11.42 ,11.68 ,1274.70 ,10496.56 ,3.57 ,83.00 ,0  ,0  ,0  ,None ,None ,60.35 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,12.06 
2021-10-24 11:52:50,141,24.49 ,23.93 ,23.92 ,24.06 ,25.20 ,-0.00 ,-0.01 ,0.00 ,12.47 ,12.66 ,11.42 ,11.68 ,1274.70 ,10495.90 ,3.78 ,83.00 ,0  ,0  ,0  ,2  ,None ,60.36 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,12.06 
2021-10-24 11:52:50,970,24.49 ,23.93 ,23.92 ,24.06 ,25.19 ,-0.00 ,-0.01 ,0.00 ,12.47 ,12.66 ,11.42 ,11.68 ,1274.70 ,10470.74 ,3.78 ,83.00 ,0  ,0  ,0  ,2  ,None ,70.31 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,12.06 
2021-10-24 11:52:51,094,24.49 ,23.93 ,23.92 ,24.06 ,25.19 ,-0.00 ,-0.01 ,0.00 ,12.47 ,12.66 ,11.42 ,11.68 ,1274.70 ,10438.40 ,3.78 ,83.00 ,0  ,0  ,0  ,2  ,None ,73.34 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,12.06 
2021-10-24 11:52:51,217,24.49 ,23.93 ,23.92 ,24.06 ,25.18 ,-0.00 ,-0.01 ,0.00 ,12.47 ,12.66 ,11.42 ,11.68 ,1274.70 ,10398.08 ,3.78 ,83.00 ,0  ,0  ,0  ,2  ,None ,76.67 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,12.06 
2021-10-24 11:52:51,342,24.49 ,23.93 ,23.92 ,24.06 ,25.18 ,-0.00 ,-0.01 ,0.00 ,12.47 ,12.66 ,11.42 ,11.68 ,1274.70 ,10349.18 ,3.78 ,83.00 ,0  ,0  ,0  ,2  ,None ,80.35 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,12.06 
2021-10-24 11:52:51,465,24.49 ,23.93 ,23.92 ,24.06 ,25.17 ,-0.00 ,-0.01 ,0.00 ,12.47 ,12.66 ,11.42 ,11.68 ,1274.70 ,10290.96 ,3.78 ,83.00 ,0  ,0  ,0  ,2  ,None ,84.26 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,12.06 
2021-10-24 11:52:51,589,24.49 ,23.93 ,23.92 ,24.06 ,25.17 ,-0.00 ,-0.01 ,0.00 ,12.47 ,12.66 ,11.42 ,11.68 ,1274.70 ,10247.48 ,3.78 ,83.00 ,0  ,0  ,0  ,2  ,None ,88.44 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,12.06 
2021-10-24 11:52:51,713,24.49 ,23.93 ,23.92 ,24.06 ,25.17 ,-0.00 ,-0.01 ,0.00 ,12.47 ,12.66 ,11.42 ,11.68 ,1274.70 ,10201.40 ,3.78 ,83.00 ,0  ,0  ,0  ,2  ,None ,92.75 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,12.06 
2021-10-24 11:52:51,836,24.49 ,23.93 ,23.92 ,24.06 ,25.16 ,-0.00 ,-0.01 ,0.00 ,12.47 ,12.66 ,11.42 ,11.68 ,1274.70 ,10153.52 ,3.78 ,83.00 ,0  ,0  ,0  ,2  ,None ,96.99 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,12.06 
2021-10-24 11:52:51,959,24.49 ,23.93 ,23.92 ,24.06 ,25.16 ,-0.00 ,-0.01 ,0.00 ,12.47 ,12.66 ,11.42 ,11.68 ,1274.70 ,10104.48 ,3.78 ,83.00 ,0  ,0  ,0  ,2  ,None ,101.33 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,12.06 
2021-10-24 11:52:52,081,24.49 ,23.93 ,23.92 ,24.06 ,25.15 ,-0.00 ,-0.01 ,0.00 ,12.47 ,12.66 ,11.42 ,11.68 ,1274.70 ,10055.10 ,3.78 ,83.00 ,0  ,0  ,0  ,2  ,None ,105.59 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,12.06 
2021-10-24 11:52:52,204,24.49 ,23.93 ,23.92 ,24.06 ,25.14 ,-0.00 ,-0.01 ,0.00 ,12.47 ,12.66 ,11.42 ,11.68 ,1274.70 ,10006.04 ,3.78 ,83.00 ,0  ,0  ,0  ,2  ,None ,109.87 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,12.06 
2021-10-24 11:52:52,327,24.49 ,23.93 ,23.92 ,24.06 ,25.13 ,-0.00 ,-0.01 ,0.00 ,12.47 ,12.66 ,11.42 ,11.68 ,1274.70 ,9957.42 ,3.78 ,83.00 ,0  ,0  ,0  ,2  ,None ,114.14 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,12.06 
2021-10-24 11:52:52,452,24.49 ,23.93 ,23.92 ,24.06 ,25.12 ,-0.00 ,-0.01 ,0.00 ,12.47 ,12.66 ,11.42 ,11.68 ,1274.70 ,9909.24 ,3.78 ,83.00 ,0  ,0  ,0  ,2  ,None ,118.39 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,12.06 
2021-10-24 11:52:52,575,24.49 ,23.93 ,23.92 ,24.06 ,25.12 ,-0.00 ,-0.01 ,0.00 ,12.47 ,12.66 ,11.42 ,11.68 ,1274.70 ,9861.82 ,3.78 ,83.00 ,0  ,0  ,0  ,2  ,None ,122.62 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,12.06 
2021-10-24 11:52:52,699,24.49 ,23.93 ,23.92 ,24.06 ,25.11 ,-0.00 ,-0.01 ,0.00 ,12.47 ,12.66 ,11.42 ,11.68 ,1274.70 ,9815.00 ,3.78 ,83.00 ,0  ,0  ,0  ,2  ,None ,126.79 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,12.06 
2021-10-24 11:52:52,823,24.49 ,23.93 ,23.92 ,24.06 ,25.10 ,-0.00 ,-0.01 ,0.00 ,12.47 ,12.66 ,11.42 ,11.68 ,1274.70 ,9768.56 ,3.78 ,83.00 ,0  ,0  ,0  ,2  ,None ,131.04 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,12.06 
2021-10-24 11:52:52,946,24.49 ,23.93 ,23.92 ,24.06 ,25.09 ,-0.00 ,-0.01 ,0.00 ,12.47 ,12.66 ,11.42 ,11.68 ,1274.70 ,9722.90 ,3.78 ,83.00 ,0  ,0  ,0  ,2  ,None ,135.20 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,12.06 
2021-10-24 11:52:53,069,24.49 ,23.93 ,23.92 ,24.06 ,25.08 ,-0.00 ,-0.01 ,0.00 ,12.47 ,12.66 ,11.42 ,11.68 ,1274.70 ,9677.78 ,3.78 ,83.00 ,0  ,0  ,0  ,2  ,None ,139.37 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,12.06 
