2021-10-24 11:59:48,288,BT1             ,BT2             ,TT1             ,TT2             ,AT              ,X               ,Y               ,Z               ,BP1             ,BP2             ,TP1             ,TP2             ,HP              ,AP              ,PD   ,PC     ,HL ,EL ,BF ,SF   ,PF   ,BV    ,rpm             ,State ,MissionState ,Setpoint ,Error ,Depth 
2021-10-24 11:59:48,289,Buffering (4/5) ,Buffering (4/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (4/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,1.38 ,100.00 ,0  ,0  ,0  ,None ,None ,71.95 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,None  
2021-10-24 11:59:48,815,24.46 ,23.99 ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,11.25 ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,1.36 ,100.00 ,0  ,0  ,0  ,None ,None ,71.95 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,None  
2021-10-24 11:59:49,375,24.46 ,23.98 ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,11.25 ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,1.37 ,100.00 ,0  ,0  ,0  ,None ,None ,72.05 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,None  
2021-10-24 11:59:49,941,24.47 ,23.98 ,24.52 ,24.53 ,24.97 ,-0.00 ,-0.00 ,0.00 ,11.25 ,11.45 ,10.18 ,10.46 ,1170.10 ,10347.26 ,1.37 ,100.00 ,0  ,0  ,0  ,None ,None ,72.08 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.83 
2021-10-24 11:59:50,488,24.55 ,23.98 ,24.10 ,24.12 ,24.99 ,0.00 ,0.00 ,0.00 ,11.25 ,11.44 ,10.18 ,10.46 ,1169.78 ,10343.92 ,1.38 ,100.00 ,0  ,0  ,0  ,None ,None ,72.10 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.83 
2021-10-24 11:59:51,049,24.55 ,23.98 ,24.10 ,24.11 ,24.98 ,0.00 ,-0.00 ,0.00 ,11.25 ,11.44 ,10.18 ,10.46 ,1169.54 ,10343.32 ,1.38 ,100.00 ,0  ,0  ,0  ,None ,None ,72.18 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.83 
2021-10-24 11:59:51,553,24.55 ,23.98 ,24.10 ,24.11 ,24.98 ,0.00 ,-0.00 ,0.00 ,11.25 ,11.44 ,10.18 ,10.46 ,1169.14 ,10342.52 ,1.38 ,100.00 ,0  ,0  ,0  ,None ,None ,72.25 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.83 
2021-10-24 11:59:52,077,24.55 ,23.98 ,24.10 ,24.11 ,24.98 ,0.01 ,-0.00 ,-0.01 ,11.24 ,11.43 ,10.17 ,10.45 ,1168.82 ,10341.86 ,1.38 ,100.00 ,0  ,0  ,0  ,None ,None ,72.30 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.82 
2021-10-24 11:59:52,635,24.55 ,23.99 ,24.09 ,24.11 ,24.98 ,0.01 ,-0.00 ,-0.01 ,11.24 ,11.43 ,10.17 ,10.45 ,1168.42 ,10341.24 ,1.39 ,100.00 ,0  ,0  ,0  ,None ,None ,72.33 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.82 
2021-10-24 11:59:53,198,24.54 ,23.98 ,24.10 ,24.11 ,24.98 ,0.00 ,0.00 ,-0.01 ,11.24 ,11.43 ,10.17 ,10.45 ,1168.26 ,10340.34 ,1.39 ,100.00 ,0  ,0  ,0  ,None ,None ,72.47 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.82 
2021-10-24 11:59:53,356,24.54 ,23.98 ,24.10 ,24.11 ,24.98 ,0.00 ,0.00 ,-0.01 ,11.24 ,11.43 ,10.17 ,10.45 ,1168.26 ,10339.66 ,1.39 ,100.00 ,0  ,0  ,0  ,2  ,None ,72.46 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.82 
2021-10-24 11:59:54,190,24.54 ,23.98 ,24.10 ,24.11 ,24.98 ,0.00 ,0.00 ,-0.01 ,11.24 ,11.43 ,10.17 ,10.45 ,1168.26 ,10315.62 ,1.39 ,100.00 ,0  ,0  ,0  ,2  ,None ,82.27 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.82 
2021-10-24 11:59:54,312,24.54 ,23.98 ,24.10 ,24.11 ,24.98 ,0.00 ,0.00 ,-0.01 ,11.24 ,11.43 ,10.17 ,10.45 ,1168.26 ,10284.40 ,1.39 ,100.00 ,0  ,0  ,0  ,2  ,None ,85.37 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.82 
2021-10-24 11:59:54,437,24.54 ,23.98 ,24.10 ,24.11 ,24.98 ,0.00 ,0.00 ,-0.01 ,11.24 ,11.43 ,10.17 ,10.45 ,1168.26 ,10245.52 ,1.39 ,100.00 ,0  ,0  ,0  ,2  ,None ,88.64 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.82 
2021-10-24 11:59:54,561,24.54 ,23.98 ,24.10 ,24.11 ,24.98 ,0.00 ,0.00 ,-0.01 ,11.24 ,11.43 ,10.17 ,10.45 ,1168.26 ,10198.00 ,1.39 ,100.00 ,0  ,0  ,0  ,2  ,None ,92.49 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.82 
