2021-10-24 12:04:30,991,BT1             ,BT2             ,TT1             ,TT2             ,AT              ,X               ,Y               ,Z               ,BP1             ,BP2             ,TP1             ,TP2             ,HP              ,AP              ,PD ,PC ,HL ,EL ,BF   ,SF   ,PF   ,BV     ,rpm             ,State ,MissionState ,Setpoint ,Error ,Depth 
2021-10-24 12:04:30,992,Buffering (2/5) ,Buffering (2/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (2/5) ,0  ,0  ,0  ,0  ,None ,None ,None ,618.04 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,None  
2021-10-24 12:04:31,517,Buffering (3/5) ,Buffering (3/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (3/5) ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,618.18 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,None  
2021-10-24 12:04:32,026,Buffering (4/5) ,Buffering (4/5) ,24.48 ,24.75 ,24.83 ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,11.11 ,11.30 ,10.04 ,10.32 ,1618.20 ,Buffering (4/5) ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,618.15 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.69 
2021-10-24 12:04:32,539,24.46 ,24.04 ,24.49 ,24.75 ,24.83 ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,11.11 ,11.30 ,10.04 ,10.32 ,1618.22 ,6300.24 ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,618.26 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.69 
2021-10-24 12:04:33,050,24.54 ,24.05 ,24.20 ,24.52 ,24.73 ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,11.11 ,11.30 ,10.04 ,10.32 ,1618.40 ,6297.94 ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,618.33 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.69 
2021-10-24 12:04:33,579,24.54 ,24.04 ,24.21 ,24.52 ,24.73 ,-0.00 ,-0.00 ,0.01 ,11.11 ,11.30 ,10.04 ,10.32 ,1618.44 ,6297.68 ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,618.37 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.69 
2021-10-24 12:04:34,090,24.54 ,24.04 ,24.22 ,24.51 ,24.73 ,-0.00 ,-0.00 ,0.01 ,11.12 ,11.30 ,10.04 ,10.32 ,1618.60 ,6297.48 ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,618.44 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.70 
2021-10-24 12:04:34,619,24.54 ,24.04 ,24.23 ,24.51 ,24.73 ,-0.00 ,-0.00 ,0.01 ,11.12 ,11.30 ,10.04 ,10.32 ,1618.66 ,6297.18 ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,618.48 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.70 
2021-10-24 12:04:35,131,24.55 ,24.04 ,24.23 ,24.50 ,24.73 ,-0.00 ,0.00 ,0.01 ,11.12 ,11.29 ,10.04 ,10.32 ,1618.70 ,6296.96 ,1.52 ,100.00 ,0  ,0  ,2  ,None ,None ,618.50 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.69 
2021-10-24 12:04:35,659,24.55 ,24.05 ,24.24 ,24.49 ,24.73 ,-0.00 ,0.00 ,0.01 ,11.12 ,11.30 ,10.04 ,10.32 ,1618.76 ,6296.78 ,1.52 ,100.00 ,0  ,0  ,2  ,None ,None ,618.53 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.70 
2021-10-24 12:04:36,171,24.55 ,24.05 ,24.24 ,24.49 ,24.73 ,0.00 ,0.01 ,0.01 ,11.11 ,11.29 ,10.04 ,10.32 ,1618.76 ,6296.60 ,1.52 ,100.00 ,0  ,0  ,2  ,None ,None ,618.57 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.69 
2021-10-24 12:04:36,699,24.55 ,24.05 ,24.24 ,24.49 ,24.73 ,0.00 ,0.01 ,0.01 ,11.11 ,11.29 ,10.04 ,10.32 ,1618.74 ,6296.52 ,1.52 ,100.00 ,0  ,0  ,2  ,None ,None ,618.53 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.69 
2021-10-24 12:04:37,211,24.55 ,24.05 ,24.25 ,24.48 ,24.73 ,-0.00 ,0.01 ,-0.00 ,11.11 ,11.30 ,10.04 ,10.32 ,1618.70 ,6296.38 ,1.52 ,100.00 ,0  ,0  ,2  ,None ,None ,618.64 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.69 
2021-10-24 12:04:37,743,24.55 ,24.04 ,24.25 ,24.48 ,24.73 ,-0.00 ,0.01 ,-0.00 ,11.11 ,11.30 ,10.04 ,10.32 ,1618.78 ,6296.32 ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,618.57 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.69 
2021-10-24 12:04:38,254,24.55 ,24.04 ,24.26 ,24.48 ,24.73 ,0.00 ,0.01 ,-0.00 ,11.11 ,11.30 ,10.05 ,10.32 ,1618.74 ,6296.24 ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,618.62 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.70 
2021-10-24 12:04:38,787,24.56 ,24.04 ,24.27 ,24.47 ,24.73 ,0.00 ,0.01 ,-0.00 ,11.11 ,11.30 ,10.05 ,10.32 ,1618.78 ,6296.16 ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,618.66 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.70 
2021-10-24 12:04:39,299,24.56 ,24.04 ,24.27 ,24.47 ,24.73 ,0.00 ,0.01 ,-0.00 ,11.11 ,11.30 ,10.05 ,10.32 ,1618.86 ,6295.90 ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,618.82 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.70 
2021-10-24 12:04:39,829,24.56 ,24.04 ,24.27 ,24.46 ,24.73 ,0.00 ,0.01 ,-0.00 ,11.11 ,11.30 ,10.05 ,10.32 ,1618.86 ,6295.80 ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,618.75 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.70 
2021-10-24 12:04:40,341,24.56 ,24.04 ,24.27 ,24.47 ,24.73 ,0.00 ,0.00 ,-0.00 ,11.11 ,11.30 ,10.05 ,10.32 ,1618.86 ,6295.62 ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,618.77 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.70 
2021-10-24 12:04:40,869,24.56 ,24.04 ,24.27 ,24.46 ,24.73 ,0.00 ,0.00 ,-0.00 ,11.11 ,11.29 ,10.04 ,10.32 ,1618.84 ,6295.40 ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,618.86 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.69 
2021-10-24 12:04:41,381,24.56 ,24.04 ,24.27 ,24.47 ,24.73 ,0.00 ,0.00 ,0.00 ,11.11 ,11.29 ,10.04 ,10.32 ,1618.96 ,6295.20 ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,618.88 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.69 
2021-10-24 12:04:41,910,24.56 ,24.03 ,24.27 ,24.47 ,24.73 ,0.00 ,0.00 ,0.00 ,11.11 ,11.29 ,10.04 ,10.32 ,1619.02 ,6295.04 ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,618.99 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.69 
2021-10-24 12:04:42,422,24.57 ,24.03 ,24.27 ,24.48 ,24.73 ,0.01 ,0.00 ,0.01 ,11.11 ,11.30 ,10.04 ,10.32 ,1619.18 ,6294.90 ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,618.90 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.69 
2021-10-24 12:04:42,952,24.57 ,24.04 ,24.27 ,24.48 ,24.73 ,0.01 ,0.00 ,0.01 ,11.11 ,11.30 ,10.04 ,10.32 ,1619.22 ,6294.72 ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,619.01 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.69 
2021-10-24 12:04:43,464,24.57 ,24.04 ,24.27 ,24.48 ,24.73 ,0.01 ,0.00 ,0.00 ,11.11 ,11.30 ,10.04 ,10.32 ,1619.32 ,6294.54 ,1.52 ,100.00 ,0  ,0  ,2  ,None ,None ,619.10 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.69 
2021-10-24 12:04:43,990,24.57 ,24.04 ,24.27 ,24.49 ,24.73 ,0.01 ,0.00 ,0.00 ,11.11 ,11.30 ,10.04 ,10.32 ,1619.34 ,6294.44 ,1.52 ,100.00 ,0  ,0  ,2  ,None ,None ,618.99 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.69 
2021-10-24 12:04:44,556,24.57 ,24.05 ,24.27 ,24.49 ,24.73 ,0.01 ,0.00 ,0.01 ,11.11 ,11.30 ,10.04 ,10.32 ,1619.24 ,6294.40 ,1.53 ,100.00 ,0  ,0  ,2  ,None ,None ,619.04 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.69 
2021-10-24 12:04:45,064,24.57 ,24.05 ,24.27 ,24.49 ,24.73 ,0.01 ,0.00 ,0.01 ,11.11 ,11.30 ,10.04 ,10.32 ,1619.28 ,6294.18 ,1.53 ,100.00 ,0  ,0  ,2  ,None ,None ,619.15 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.69 
2021-10-24 12:04:45,590,24.58 ,24.05 ,24.27 ,24.50 ,24.73 ,0.00 ,0.00 ,-0.00 ,11.11 ,11.30 ,10.04 ,10.32 ,1619.42 ,6294.04 ,1.54 ,100.00 ,0  ,0  ,2  ,None ,None ,619.13 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.69 
2021-10-24 12:04:46,101,24.57 ,24.05 ,24.28 ,24.50 ,24.73 ,-0.00 ,0.01 ,-0.01 ,11.11 ,11.30 ,10.04 ,10.32 ,1619.50 ,6293.96 ,1.54 ,100.00 ,0  ,0  ,2  ,None ,None ,619.15 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.69 
2021-10-24 12:04:46,631,24.57 ,24.05 ,24.28 ,24.50 ,24.73 ,-0.00 ,0.01 ,-0.01 ,11.11 ,11.30 ,10.04 ,10.32 ,1619.52 ,6293.80 ,1.54 ,100.00 ,0  ,0  ,2  ,None ,None ,619.17 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.69 
2021-10-24 12:04:47,139,24.57 ,24.05 ,24.28 ,24.50 ,24.73 ,-0.01 ,0.01 ,-0.01 ,11.11 ,11.30 ,10.04 ,10.32 ,1619.68 ,6293.66 ,1.54 ,100.00 ,0  ,0  ,2  ,None ,None ,619.24 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.69 
2021-10-24 12:04:47,666,24.57 ,24.04 ,24.29 ,24.50 ,24.73 ,-0.01 ,0.01 ,-0.01 ,11.11 ,11.30 ,10.04 ,10.32 ,1619.68 ,6293.54 ,1.54 ,100.00 ,0  ,0  ,2  ,None ,None ,619.28 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.69 
2021-10-24 12:04:48,180,24.57 ,24.04 ,24.29 ,24.50 ,24.73 ,-0.01 ,0.01 ,-0.01 ,11.11 ,11.30 ,10.04 ,10.32 ,1619.66 ,6293.32 ,1.54 ,100.00 ,0  ,0  ,2  ,None ,None ,619.41 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.69 
2021-10-24 12:04:48,712,24.57 ,24.04 ,24.29 ,24.50 ,24.74 ,-0.01 ,0.01 ,-0.01 ,11.11 ,11.30 ,10.04 ,10.32 ,1619.64 ,6293.10 ,1.53 ,100.00 ,0  ,0  ,2  ,None ,None ,619.44 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.69 
2021-10-24 12:04:49,224,24.57 ,24.03 ,24.29 ,24.50 ,24.74 ,-0.00 ,0.01 ,-0.01 ,11.11 ,11.29 ,10.04 ,10.32 ,1619.70 ,6292.94 ,1.53 ,100.00 ,0  ,0  ,2  ,None ,None ,619.39 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.69 
2021-10-24 12:04:49,753,24.57 ,24.03 ,24.29 ,24.50 ,24.74 ,-0.00 ,0.01 ,-0.01 ,11.11 ,11.29 ,10.04 ,10.32 ,1619.70 ,6292.84 ,1.53 ,100.00 ,0  ,0  ,2  ,None ,None ,619.35 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.69 
2021-10-24 12:04:50,264,24.57 ,24.04 ,24.29 ,24.50 ,24.74 ,0.00 ,0.01 ,-0.01 ,11.11 ,11.29 ,10.04 ,10.32 ,1619.70 ,6292.74 ,1.53 ,100.00 ,0  ,0  ,2  ,None ,None ,619.44 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.69 
2021-10-24 12:04:50,798,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,0  ,0  ,None ,None ,None ,None ,None ,0  ,Buffering (0/1) ,INIT  ,IDLE         ,None     ,None  ,10.69 
2021-10-24 12:04:51,301,Buffering (1/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (1/5) ,1.53 ,100.00 ,0  ,0  ,2  ,None ,None ,619.48 ,Buffering (0/1) ,WAIT_FOR_SENSOR_BUFFER ,IDLE         ,None     ,None  ,10.69 
2021-10-24 12:04:51,828,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,1.53 ,100.00 ,0  ,0  ,2  ,None ,None ,619.57 ,Buffering (0/1) ,WAIT_FOR_SENSOR_BUFFER ,IDLE         ,None     ,None  ,10.69 
2021-10-24 12:04:52,337,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,1.53 ,100.00 ,0  ,0  ,2  ,None ,None ,619.59 ,Buffering (0/1) ,WAIT_FOR_SENSOR_BUFFER ,IDLE         ,None     ,None  ,10.69 
2021-10-24 12:04:52,863,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,1.53 ,100.00 ,0  ,0  ,2  ,None ,None ,619.61 ,Buffering (0/1) ,WAIT_FOR_SENSOR_BUFFER ,IDLE         ,None     ,None  ,10.69 
2021-10-24 12:04:53,427,24.58 ,24.05 ,24.29 ,24.54 ,24.74 ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,11.11 ,11.30 ,10.04 ,10.32 ,1620.08 ,6291.86 ,1.53 ,100.00 ,0  ,0  ,2  ,None ,None ,619.70 ,Buffering (0/1) ,WAIT_FOR_SENSOR_BUFFER ,IDLE         ,None     ,None  ,10.69 
2021-10-24 12:04:53,935,24.58 ,24.05 ,24.30 ,24.54 ,24.74 ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,11.11 ,11.29 ,10.04 ,10.32 ,1620.10 ,6291.66 ,1.53 ,100.00 ,0  ,0  ,2  ,None ,None ,619.70 ,Buffering (0/1) ,WAIT_FOR_SENSOR_BUFFER ,IDLE         ,None     ,None  ,10.69 
2021-10-24 12:04:54,463,24.58 ,24.05 ,24.30 ,24.55 ,24.74 ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,11.11 ,11.29 ,10.04 ,10.32 ,1620.10 ,6291.52 ,1.53 ,100.00 ,0  ,0  ,2  ,None ,None ,619.77 ,Buffering (0/1) ,WAIT_FOR_SENSOR_BUFFER ,IDLE         ,None     ,None  ,10.69 
2021-10-24 12:04:54,974,24.58 ,24.04 ,24.30 ,24.56 ,24.74 ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,11.11 ,11.30 ,10.04 ,10.32 ,1619.94 ,6291.36 ,1.53 ,100.00 ,0  ,0  ,2  ,None ,None ,619.77 ,Buffering (0/1) ,WAIT_FOR_SENSOR_BUFFER ,IDLE         ,None     ,None  ,10.69 
2021-10-24 12:04:55,502,24.58 ,24.04 ,24.30 ,24.56 ,24.74 ,-0.01 ,0.02 ,0.00 ,11.11 ,11.30 ,10.04 ,10.32 ,1619.98 ,6291.18 ,1.53 ,100.00 ,0  ,0  ,2  ,None ,None ,619.81 ,Buffering (0/1) ,WAIT_FOR_SENSOR_BUFFER ,IDLE         ,None     ,None  ,10.69 
2021-10-24 12:04:56,014,24.58 ,24.04 ,24.30 ,24.57 ,24.74 ,-0.01 ,0.02 ,0.00 ,11.11 ,11.30 ,10.04 ,10.32 ,1620.02 ,6291.12 ,1.53 ,100.00 ,0  ,0  ,2  ,None ,None ,619.77 ,Buffering (0/1) ,CALIBRATE_DEPTH_SENSORS ,IDLE         ,None     ,None  ,10.69 
2021-10-24 12:04:56,543,24.58 ,24.04 ,24.30 ,24.57 ,24.74 ,-0.01 ,0.01 ,0.00 ,11.12 ,11.30 ,10.04 ,10.32 ,1619.94 ,6290.94 ,1.53 ,100.00 ,0  ,0  ,2  ,None ,None ,619.90 ,Buffering (0/1) ,CALIBRATE_DEPTH_SENSORS ,IDLE         ,None     ,None  ,0.00  
2021-10-24 12:04:57,051,24.58 ,24.04 ,24.31 ,24.58 ,24.74 ,-0.01 ,0.01 ,0.00 ,11.11 ,11.30 ,10.04 ,10.32 ,1619.96 ,6290.80 ,1.53 ,100.00 ,0  ,0  ,2  ,None ,None ,619.93 ,Buffering (0/1) ,WAIT_FOR_WATER ,IDLE         ,None     ,None  ,0.00  
2021-10-24 12:04:57,598,24.58 ,24.04 ,24.31 ,24.59 ,24.74 ,-0.01 ,0.01 ,-0.01 ,11.11 ,11.30 ,10.04 ,10.32 ,1620.12 ,6290.60 ,1.53 ,100.00 ,0  ,0  ,2  ,None ,None ,619.99 ,Buffering (0/1) ,WAIT_FOR_WATER ,IDLE         ,None     ,None  ,0.00  
2021-10-24 12:04:58,107,24.58 ,24.04 ,24.31 ,24.59 ,24.74 ,-0.01 ,0.01 ,-0.01 ,11.11 ,11.30 ,10.04 ,10.32 ,1620.00 ,6290.46 ,1.53 ,100.00 ,0  ,0  ,2  ,None ,None ,619.97 ,Buffering (0/1) ,WAIT_FOR_WATER ,IDLE         ,None     ,None  ,0.00  
2021-10-24 12:04:58,638,24.59 ,24.04 ,24.32 ,24.60 ,24.74 ,-0.01 ,0.01 ,-0.01 ,11.11 ,11.30 ,10.04 ,10.32 ,1620.14 ,6290.24 ,1.53 ,100.00 ,0  ,0  ,2  ,None ,None ,620.01 ,Buffering (0/1) ,WAIT_FOR_WATER ,IDLE         ,None     ,None  ,0.00  
2021-10-24 12:04:59,147,24.59 ,24.05 ,24.32 ,24.60 ,24.74 ,-0.01 ,-0.00 ,-0.01 ,11.11 ,11.30 ,10.04 ,10.32 ,1620.30 ,6290.18 ,1.53 ,100.00 ,0  ,0  ,2  ,None ,None ,619.97 ,Buffering (0/1) ,WAIT_FOR_WATER ,IDLE         ,None     ,None  ,0.00  
