2021-10-24 12:14:55,657,BT1             ,BT2             ,TT1             ,TT2             ,AT              ,X               ,Y               ,Z               ,BP1             ,BP2             ,TP1             ,TP2             ,HP              ,AP              ,PD ,PC ,HL   ,EL   ,BF   ,SF   ,PF   ,BV ,rpm             ,State ,MissionState ,Setpoint ,Error ,Depth 
2021-10-24 12:14:55,658,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,0  ,0  ,None ,None ,None ,None ,None ,0  ,Buffering (0/1) ,INIT  ,IDLE         ,None     ,None  ,None  
2021-10-24 12:14:56,165,Buffering (1/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (1/5) ,1.42 ,100.00 ,0  ,0  ,0  ,None ,None ,103.80 ,Buffering (0/1) ,WAIT_FOR_SENSOR_BUFFER ,IDLE         ,None     ,None  ,None  
2021-10-24 12:14:56,714,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,1.42 ,100.00 ,0  ,0  ,0  ,None ,None ,103.93 ,Buffering (0/1) ,WAIT_FOR_SENSOR_BUFFER ,IDLE         ,None     ,None  ,None  
2021-10-24 12:14:57,281,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,1.42 ,100.00 ,0  ,0  ,0  ,None ,None ,103.98 ,Buffering (0/1) ,WAIT_FOR_SENSOR_BUFFER ,IDLE         ,None     ,None  ,None  
2021-10-24 12:14:57,797,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,1.42 ,100.00 ,0  ,0  ,0  ,None ,None ,103.99 ,Buffering (0/1) ,WAIT_FOR_SENSOR_BUFFER ,IDLE         ,None     ,None  ,None  
2021-10-24 12:14:58,317,24.63 ,24.06 ,24.20 ,24.18 ,25.28 ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,11.21 ,11.39 ,10.14 ,10.41 ,1169.70 ,9980.12 ,1.42 ,100.00 ,0  ,0  ,0  ,None ,None ,104.06 ,Buffering (0/1) ,WAIT_FOR_SENSOR_BUFFER ,IDLE         ,None     ,None  ,10.79 
2021-10-24 12:14:58,863,24.63 ,24.06 ,24.20 ,24.17 ,25.28 ,0.00 ,0.00 ,0.00 ,11.21 ,11.39 ,10.14 ,10.41 ,1169.62 ,9979.50 ,1.42 ,100.00 ,0  ,0  ,0  ,None ,None ,104.08 ,Buffering (0/1) ,WAIT_FOR_SENSOR_BUFFER ,IDLE         ,None     ,None  ,10.79 
2021-10-24 12:14:59,371,24.63 ,24.06 ,24.20 ,24.18 ,25.28 ,0.00 ,0.00 ,0.00 ,11.21 ,11.39 ,10.14 ,10.41 ,1169.56 ,9978.96 ,1.42 ,100.00 ,0  ,0  ,0  ,None ,None ,104.17 ,Buffering (0/1) ,CALIBRATE_DEPTH_SENSORS ,IDLE         ,None     ,None  ,10.79 
2021-10-24 12:14:59,895,24.63 ,24.06 ,24.21 ,24.18 ,25.28 ,0.00 ,0.00 ,0.00 ,11.21 ,11.39 ,10.14 ,10.40 ,1169.52 ,9978.42 ,1.42 ,100.00 ,0  ,0  ,0  ,None ,None ,104.22 ,Buffering (0/1) ,CALIBRATE_DEPTH_SENSORS ,IDLE         ,None     ,None  ,-0.00 
2021-10-24 12:15:00,400,24.63 ,24.06 ,24.21 ,24.18 ,25.28 ,0.00 ,0.00 ,0.00 ,11.21 ,11.39 ,10.14 ,10.40 ,1169.58 ,9977.74 ,1.42 ,100.00 ,0  ,0  ,0  ,None ,None ,104.29 ,Buffering (0/1) ,WAIT_FOR_WATER ,IDLE         ,None     ,None  ,-0.00 
