2021-10-24 12:24:51,930,BT1   ,BT2             ,TT1   ,TT2   ,AT              ,X               ,Y               ,Z               ,BP1             ,BP2             ,TP1             ,TP2             ,HP      ,AP              ,PD ,PC     ,HL ,EL ,BF   ,SF   ,PF   ,BV     ,rpm             ,State ,MissionState ,Setpoint ,Error ,Depth 
2021-10-24 12:24:51,930,24.38 ,Buffering (4/5) ,25.33 ,25.45 ,Buffering (3/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (3/5) ,Buffering (3/5) ,1670.64 ,Buffering (3/5) ,0  ,100.00 ,0  ,0  ,None ,None ,None ,643.97 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,None  
2021-10-24 12:24:52,475,24.46 ,256.97 ,25.33 ,25.44 ,Buffering (4/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,11.16 ,11.38 ,Buffering (4/5) ,Buffering (4/5) ,1671.70 ,Buffering (4/5) ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,644.04 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,None  
2021-10-24 12:24:52,991,24.54 ,256.96 ,25.33 ,25.43 ,26.28 ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,11.16 ,11.38 ,10.23 ,10.35 ,1672.82 ,6226.06 ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,644.16 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.78 
2021-10-24 12:24:53,498,24.62 ,-69.39 ,24.74 ,24.87 ,26.41 ,0.00 ,0.00 ,0.00 ,11.15 ,11.38 ,10.22 ,10.35 ,1673.34 ,6223.70 ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,643.93 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.78 
2021-10-24 12:24:54,067,24.70 ,24.15 ,24.15 ,24.31 ,26.55 ,0.00 ,-0.00 ,0.00 ,11.15 ,11.38 ,10.22 ,10.35 ,1673.56 ,6221.44 ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,644.09 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.78 
2021-10-24 12:24:54,570,24.70 ,24.15 ,24.15 ,24.30 ,26.55 ,0.00 ,-0.00 ,0.00 ,11.15 ,11.38 ,10.22 ,10.35 ,1673.64 ,6221.26 ,1.50 ,100.00 ,0  ,0  ,2  ,None ,None ,644.18 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.78 
2021-10-24 12:24:55,098,24.70 ,24.15 ,24.15 ,24.30 ,26.55 ,0.01 ,-0.00 ,0.00 ,11.15 ,11.38 ,10.22 ,10.35 ,1673.64 ,6221.14 ,1.50 ,100.00 ,0  ,0  ,2  ,None ,None ,644.18 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.78 
2021-10-24 12:24:55,606,24.70 ,24.16 ,24.15 ,24.30 ,26.54 ,0.01 ,-0.00 ,0.00 ,11.15 ,11.38 ,10.22 ,10.35 ,1673.62 ,6221.06 ,1.50 ,100.00 ,0  ,0  ,2  ,None ,None ,644.21 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.78 
2021-10-24 12:24:56,132,24.70 ,24.16 ,24.15 ,24.29 ,26.54 ,0.00 ,-0.00 ,0.00 ,11.15 ,11.38 ,10.22 ,10.35 ,1673.62 ,6220.86 ,1.50 ,100.00 ,0  ,0  ,2  ,None ,None ,644.16 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.78 
2021-10-24 12:24:56,642,24.70 ,24.16 ,24.15 ,24.30 ,26.55 ,0.00 ,-0.00 ,0.00 ,11.16 ,11.38 ,10.22 ,10.34 ,1673.72 ,6220.72 ,1.50 ,100.00 ,0  ,0  ,2  ,None ,None ,644.29 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.77 
2021-10-24 12:24:57,172,24.70 ,24.16 ,24.15 ,24.30 ,26.54 ,0.01 ,-0.00 ,0.00 ,11.16 ,11.38 ,10.22 ,10.35 ,1673.88 ,6220.56 ,1.50 ,100.00 ,0  ,0  ,2  ,None ,None ,644.32 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.78 
2021-10-24 12:24:57,678,24.70 ,24.16 ,24.15 ,24.30 ,26.54 ,0.01 ,-0.00 ,0.00 ,11.16 ,11.38 ,10.22 ,10.34 ,1674.02 ,6220.46 ,1.50 ,100.00 ,0  ,0  ,2  ,None ,None ,644.25 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.77 
2021-10-24 12:24:58,206,24.70 ,24.15 ,24.15 ,24.30 ,26.54 ,0.01 ,-0.00 ,0.00 ,11.16 ,11.38 ,10.22 ,10.34 ,1674.12 ,6220.44 ,1.50 ,100.00 ,0  ,0  ,2  ,None ,None ,644.23 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.77 
2021-10-24 12:24:58,715,24.70 ,24.15 ,24.15 ,24.30 ,26.54 ,0.01 ,-0.00 ,0.00 ,11.16 ,11.38 ,10.22 ,10.34 ,1674.22 ,6220.20 ,1.50 ,100.00 ,0  ,0  ,2  ,None ,None ,644.39 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.77 
2021-10-24 12:24:59,243,24.70 ,24.15 ,24.15 ,24.30 ,26.54 ,0.01 ,0.00 ,0.00 ,11.16 ,11.38 ,10.23 ,10.34 ,1674.34 ,6220.10 ,1.50 ,100.00 ,0  ,0  ,2  ,None ,None ,644.37 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.78 
