2021-10-24 12:32:55,521,BT1             ,BT2   ,TT1   ,TT2   ,AT              ,X               ,Y               ,Z               ,BP1   ,BP2   ,TP1             ,TP2             ,HP      ,AP              ,PD ,PC     ,HL ,EL ,BF   ,SF   ,PF   ,BV     ,rpm             ,State ,MissionState ,Setpoint ,Error ,Depth 
2021-10-24 12:32:55,522,Buffering (4/5) ,24.06 ,24.58 ,24.78 ,Buffering (2/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (1/5) ,11.09 ,11.26 ,Buffering (2/5) ,Buffering (2/5) ,1636.86 ,Buffering (2/5) ,0  ,100.00 ,0  ,0  ,None ,None ,None ,625.20 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,None  
2021-10-24 12:32:56,046,24.52 ,24.05 ,24.58 ,24.79 ,Buffering (3/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,11.09 ,11.26 ,Buffering (3/5) ,Buffering (3/5) ,1637.04 ,Buffering (3/5) ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,625.13 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,None  
2021-10-24 12:32:56,556,24.52 ,24.05 ,24.59 ,24.79 ,Buffering (4/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,11.09 ,11.27 ,Buffering (4/5) ,Buffering (4/5) ,1637.22 ,Buffering (4/5) ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,625.20 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,None  
2021-10-24 12:32:57,095,24.52 ,24.05 ,24.59 ,24.79 ,25.43 ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,11.09 ,11.27 ,10.02 ,10.29 ,1637.40 ,6280.20 ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,625.29 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.67 
2021-10-24 12:32:57,586,24.59 ,24.05 ,24.20 ,24.44 ,25.27 ,-0.01 ,0.01 ,-0.01 ,11.09 ,11.27 ,10.02 ,10.29 ,1637.72 ,6277.88 ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,625.25 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.67 
2021-10-24 12:32:58,115,24.60 ,24.05 ,24.21 ,24.44 ,25.27 ,-0.01 ,0.01 ,-0.01 ,11.09 ,11.27 ,10.02 ,10.29 ,1637.72 ,6277.80 ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,625.33 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.67 
2021-10-24 12:32:58,625,24.59 ,24.04 ,24.21 ,24.43 ,25.28 ,-0.01 ,0.01 ,-0.01 ,11.09 ,11.27 ,10.02 ,10.29 ,1637.68 ,6277.62 ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,625.37 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.67 
2021-10-24 12:32:59,153,24.59 ,24.04 ,24.21 ,24.43 ,25.28 ,-0.01 ,0.01 ,-0.01 ,11.09 ,11.27 ,10.02 ,10.29 ,1637.70 ,6277.44 ,1.52 ,100.00 ,0  ,0  ,2  ,None ,None ,625.40 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.67 
2021-10-24 12:32:59,664,24.59 ,24.04 ,24.21 ,24.42 ,25.28 ,-0.01 ,0.01 ,-0.00 ,11.09 ,11.27 ,10.02 ,10.29 ,1637.84 ,6277.32 ,1.54 ,100.00 ,0  ,0  ,2  ,None ,None ,625.46 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.67 
2021-10-24 12:33:00,192,24.59 ,24.04 ,24.22 ,24.42 ,25.28 ,-0.01 ,0.01 ,-0.00 ,11.09 ,11.27 ,10.02 ,10.29 ,1637.74 ,6277.14 ,1.56 ,100.00 ,0  ,0  ,2  ,None ,None ,625.45 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.67 
2021-10-24 12:33:00,702,24.59 ,24.04 ,24.22 ,24.41 ,25.28 ,0.00 ,0.01 ,0.00 ,11.09 ,11.27 ,10.02 ,10.29 ,1637.82 ,6276.94 ,1.56 ,100.00 ,0  ,0  ,2  ,None ,None ,625.51 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.67 
2021-10-24 12:33:01,228,24.59 ,24.04 ,24.22 ,24.41 ,25.27 ,0.00 ,0.01 ,0.00 ,11.09 ,11.27 ,10.02 ,10.29 ,1637.88 ,6276.82 ,1.54 ,100.00 ,0  ,0  ,2  ,None ,None ,625.47 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.67 
2021-10-24 12:33:01,740,24.59 ,24.04 ,24.23 ,24.40 ,25.27 ,-0.00 ,-0.00 ,0.01 ,11.09 ,11.27 ,10.02 ,10.29 ,1637.92 ,6276.66 ,1.52 ,100.00 ,0  ,0  ,2  ,None ,None ,625.54 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.67 
2021-10-24 12:33:02,270,24.59 ,24.04 ,24.23 ,24.40 ,25.27 ,-0.00 ,-0.00 ,0.01 ,11.09 ,11.27 ,10.02 ,10.29 ,1637.88 ,6276.50 ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,625.64 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.67 
2021-10-24 12:33:02,777,24.59 ,24.04 ,24.24 ,24.40 ,25.27 ,-0.00 ,-0.00 ,0.01 ,11.09 ,11.27 ,10.02 ,10.29 ,1637.92 ,6276.32 ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,625.69 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.67 
