2021-10-24 12:38:26,123,BT1   ,BT2   ,TT1   ,TT2   ,AT    ,X               ,Y               ,Z               ,BP1   ,BP2   ,TP1   ,TP2   ,HP      ,AP              ,PD ,PC ,HL ,EL ,BF   ,SF   ,PF   ,BV     ,rpm             ,State ,MissionState ,Setpoint ,Error ,Depth 
2021-10-24 12:38:26,124,24.52 ,24.08 ,24.63 ,24.85 ,25.44 ,Buffering (1/5) ,Buffering (1/5) ,Buffering (1/5) ,11.09 ,11.27 ,10.03 ,10.29 ,1614.24 ,Buffering (2/5) ,0  ,0  ,0  ,0  ,None ,None ,None ,621.70 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.67 
2021-10-24 12:38:26,623,24.52 ,24.08 ,24.64 ,24.85 ,25.44 ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,11.09 ,11.27 ,10.03 ,10.29 ,1614.44 ,Buffering (3/5) ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,621.68 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.67 
2021-10-24 12:38:27,149,24.52 ,24.08 ,24.66 ,24.85 ,25.43 ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,11.09 ,11.27 ,10.03 ,10.29 ,1614.70 ,Buffering (4/5) ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,621.59 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.67 
2021-10-24 12:38:27,714,24.52 ,24.08 ,24.67 ,24.85 ,25.43 ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,11.10 ,11.27 ,10.03 ,10.29 ,1614.92 ,6296.44 ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,621.70 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.67 
2021-10-24 12:38:28,278,24.60 ,24.09 ,24.30 ,24.52 ,25.29 ,0.00 ,-0.01 ,0.01 ,11.10 ,11.27 ,10.03 ,10.29 ,1615.14 ,6294.06 ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,621.92 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.67 
2021-10-24 12:38:28,842,24.60 ,24.09 ,24.31 ,24.51 ,25.29 ,-0.00 ,-0.01 ,0.00 ,11.10 ,11.26 ,10.03 ,10.29 ,1615.14 ,6293.90 ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,621.88 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.67 
2021-10-24 12:38:29,352,24.60 ,24.10 ,24.31 ,24.51 ,25.29 ,-0.00 ,-0.01 ,0.00 ,11.10 ,11.26 ,10.03 ,10.29 ,1615.24 ,6293.70 ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,621.90 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.67 
2021-10-24 12:38:29,877,24.60 ,24.10 ,24.32 ,24.51 ,25.29 ,-0.00 ,-0.01 ,0.00 ,11.10 ,11.27 ,10.03 ,10.29 ,1615.22 ,6293.42 ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,621.90 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.67 
2021-10-24 12:38:30,389,24.60 ,24.10 ,24.32 ,24.52 ,25.29 ,-0.00 ,-0.01 ,0.00 ,11.10 ,11.27 ,10.03 ,10.29 ,1615.34 ,6293.22 ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,621.93 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.67 
2021-10-24 12:38:30,917,24.60 ,24.10 ,24.32 ,24.52 ,25.29 ,0.00 ,-0.00 ,0.01 ,11.09 ,11.27 ,10.03 ,10.29 ,1615.48 ,6293.08 ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,622.04 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.67 
