2021-10-24 12:45:53,450,BT1             ,BT2             ,TT1             ,TT2             ,AT              ,X               ,Y               ,Z               ,BP1             ,BP2             ,TP1             ,TP2             ,HP              ,AP              ,PD ,PC     ,HL ,EL ,BF   ,SF   ,PF   ,BV     ,rpm             ,State ,MissionState ,Setpoint ,Error ,Depth 
2021-10-24 12:45:53,451,Buffering (1/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (1/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (1/5) ,0  ,100.00 ,0  ,0  ,None ,None ,None ,644.88 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,None  
2021-10-24 12:45:59,022,Buffering (4/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (3/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (3/5) ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,645.06 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,None  
2021-10-24 12:45:59,535,24.56 ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (4/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (4/5) ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,645.20 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,None  
2021-10-24 12:46:00,046,24.56 ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,25.34 ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,6191.72 ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,645.15 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,None  
2021-10-24 12:46:00,575,24.57 ,24.12 ,24.61 ,24.81 ,25.34 ,0.00 ,0.00 ,0.00 ,11.09 ,11.27 ,10.03 ,10.29 ,1664.22 ,6191.38 ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,645.27 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.67 
2021-10-24 12:46:01,071,24.64 ,24.13 ,24.23 ,24.47 ,25.23 ,0.00 ,0.00 ,0.00 ,11.09 ,11.27 ,10.04 ,10.29 ,1664.52 ,6189.04 ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,645.29 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.67 
2021-10-24 12:46:01,615,24.64 ,24.13 ,24.23 ,24.47 ,25.23 ,-0.00 ,0.00 ,-0.00 ,11.09 ,11.27 ,10.04 ,10.29 ,1664.58 ,6188.96 ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,645.16 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.67 
2021-10-24 12:46:01,766,24.64 ,24.13 ,24.23 ,24.47 ,25.23 ,-0.00 ,0.00 ,-0.00 ,11.09 ,11.27 ,10.04 ,10.29 ,1664.58 ,6188.88 ,1.51 ,100.00 ,0  ,0  ,2  ,1  ,None ,645.34 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.67 
2021-10-24 12:46:03,097,24.65 ,24.12 ,24.23 ,24.47 ,25.23 ,-0.00 ,0.00 ,-0.00 ,11.09 ,11.27 ,10.04 ,10.29 ,1658.38 ,6192.24 ,1.51 ,100.00 ,0  ,0  ,2  ,0  ,None ,641.29 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.67 
2021-10-24 12:46:03,277,24.65 ,24.12 ,24.23 ,24.47 ,25.23 ,-0.01 ,0.00 ,0.00 ,11.09 ,11.27 ,10.04 ,10.29 ,1658.38 ,6195.82 ,1.51 ,100.00 ,0  ,0  ,2  ,1  ,None ,641.16 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.67 
