2021-10-24 12:47:25,220,BT1   ,BT2             ,TT1   ,TT2   ,AT              ,X               ,Y               ,Z               ,BP1   ,BP2   ,TP1   ,TP2             ,HP      ,AP              ,PD ,PC ,HL ,EL ,BF   ,SF   ,PF   ,BV     ,rpm             ,State ,MissionState ,Setpoint ,Error ,Depth 
2021-10-24 12:47:25,222,24.52 ,Buffering (4/5) ,25.07 ,25.17 ,Buffering (3/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,11.15 ,11.43 ,10.21 ,Buffering (3/5) ,1765.80 ,Buffering (3/5) ,0  ,0  ,0  ,0  ,None ,None ,None ,671.64 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,None  
2021-10-24 12:47:25,755,24.52 ,-177.23 ,25.06 ,25.13 ,Buffering (4/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,11.16 ,11.44 ,10.22 ,Buffering (4/5) ,1766.80 ,Buffering (4/5) ,1.52 ,100.00 ,0  ,0  ,2  ,None ,None ,671.43 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,None  
2021-10-24 12:47:26,271,24.59 ,-177.24 ,25.05 ,25.09 ,25.32 ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,11.16 ,11.44 ,10.22 ,10.36 ,1767.38 ,6087.18 ,1.50 ,100.00 ,0  ,0  ,2  ,None ,None ,671.49 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.79 
2021-10-24 12:47:26,781,24.66 ,-177.26 ,24.60 ,24.66 ,25.43 ,-0.04 ,0.01 ,-0.00 ,11.16 ,11.44 ,10.22 ,10.35 ,1767.32 ,6085.24 ,1.50 ,100.00 ,0  ,0  ,2  ,None ,None ,671.54 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.79 
2021-10-24 12:47:27,290,24.72 ,24.19 ,24.16 ,24.24 ,25.55 ,-0.04 ,0.01 ,-0.00 ,11.18 ,11.45 ,10.24 ,10.37 ,1769.06 ,6083.24 ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,671.52 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.81 
2021-10-24 12:47:27,816,24.72 ,24.18 ,24.16 ,24.23 ,25.55 ,-0.04 ,0.02 ,-0.01 ,11.16 ,11.44 ,10.22 ,10.36 ,1767.82 ,6083.46 ,1.53 ,100.00 ,0  ,0  ,2  ,None ,None ,671.37 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.79 
2021-10-24 12:47:28,377,24.72 ,24.19 ,24.15 ,24.23 ,25.55 ,0.03 ,0.03 ,-0.00 ,11.16 ,11.43 ,10.21 ,10.36 ,1767.06 ,6083.38 ,1.54 ,100.00 ,0  ,0  ,2  ,None ,None ,671.56 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.79 
2021-10-24 12:47:28,886,24.72 ,24.18 ,24.15 ,24.23 ,25.55 ,0.03 ,0.03 ,-0.00 ,11.15 ,11.43 ,10.21 ,10.36 ,1766.84 ,6083.38 ,1.54 ,100.00 ,0  ,0  ,2  ,None ,None ,671.49 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.79 
2021-10-24 12:47:29,414,24.72 ,24.18 ,24.15 ,24.23 ,25.55 ,-0.00 ,0.02 ,-0.01 ,11.16 ,11.43 ,10.22 ,10.36 ,1767.08 ,6083.40 ,1.53 ,100.00 ,0  ,0  ,2  ,None ,None ,671.52 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.79 
2021-10-24 12:47:29,924,24.72 ,24.18 ,24.15 ,24.23 ,25.55 ,-0.00 ,0.02 ,-0.01 ,11.16 ,11.43 ,10.22 ,10.37 ,1767.64 ,6083.44 ,1.52 ,100.00 ,0  ,0  ,2  ,None ,None ,671.43 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.79 
2021-10-24 12:47:30,451,24.72 ,24.18 ,24.14 ,24.23 ,25.55 ,-0.01 ,0.07 ,-0.01 ,11.16 ,11.44 ,10.23 ,10.37 ,1768.20 ,6083.26 ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,671.59 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.80 
2021-10-24 12:47:30,959,24.72 ,24.18 ,24.14 ,24.23 ,25.55 ,-0.01 ,0.07 ,-0.01 ,11.17 ,11.45 ,10.23 ,10.37 ,1768.52 ,6083.32 ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,671.45 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.80 
2021-10-24 12:47:31,482,24.72 ,24.18 ,24.14 ,24.24 ,25.55 ,0.04 ,0.06 ,0.00 ,11.17 ,11.45 ,10.23 ,10.37 ,1768.60 ,6083.32 ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,671.49 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.80 
2021-10-24 12:47:31,991,24.72 ,24.19 ,24.14 ,24.24 ,25.55 ,0.04 ,0.06 ,0.00 ,11.17 ,11.44 ,10.23 ,10.37 ,1768.62 ,6083.26 ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,671.59 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.80 
2021-10-24 12:47:32,520,24.72 ,24.19 ,24.13 ,24.24 ,25.55 ,0.04 ,0.06 ,0.00 ,11.17 ,11.44 ,10.22 ,10.37 ,1768.34 ,6083.14 ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,671.61 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.80 
2021-10-24 12:47:33,026,24.72 ,24.18 ,24.13 ,24.24 ,25.55 ,0.04 ,0.06 ,0.00 ,11.16 ,11.44 ,10.22 ,10.36 ,1767.94 ,6083.18 ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,671.54 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.79 
2021-10-24 12:47:33,550,24.72 ,24.18 ,24.14 ,24.24 ,25.55 ,-0.03 ,0.05 ,-0.01 ,11.16 ,11.43 ,10.22 ,10.36 ,1767.54 ,6083.08 ,1.52 ,100.00 ,0  ,0  ,2  ,None ,None ,671.61 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.79 
2021-10-24 12:47:34,059,24.72 ,24.19 ,24.14 ,24.24 ,25.55 ,-0.03 ,0.05 ,-0.01 ,11.16 ,11.43 ,10.22 ,10.36 ,1767.50 ,6083.06 ,1.52 ,100.00 ,0  ,0  ,2  ,None ,None ,671.52 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.79 
2021-10-24 12:47:34,585,24.72 ,24.18 ,24.15 ,24.24 ,25.55 ,-0.00 ,0.06 ,-0.00 ,11.16 ,11.43 ,10.22 ,10.36 ,1767.74 ,6083.08 ,1.52 ,100.00 ,0  ,0  ,2  ,None ,None ,671.56 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.79 
2021-10-24 12:47:35,091,24.72 ,24.19 ,24.15 ,24.24 ,25.55 ,-0.00 ,0.06 ,-0.00 ,11.17 ,11.44 ,10.23 ,10.37 ,1768.28 ,6083.20 ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,671.47 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.80 
2021-10-24 12:47:35,615,24.72 ,24.19 ,24.15 ,24.24 ,25.55 ,0.01 ,0.00 ,0.01 ,11.17 ,11.44 ,10.23 ,10.37 ,1768.78 ,6083.12 ,1.50 ,100.00 ,0  ,0  ,2  ,None ,None ,671.64 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.80 
