2021-10-24 12:52:17,743,BT1   ,BT2             ,TT1             ,TT2             ,AT              ,X               ,Y               ,Z               ,BP1   ,BP2   ,TP1             ,TP2             ,HP              ,AP              ,PD   ,PC     ,HL ,EL ,BF   ,SF   ,PF   ,BV     ,rpm             ,State ,MissionState ,Setpoint ,Error ,Depth 
2021-10-24 12:52:17,743,24.49 ,Buffering (4/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,11.17 ,11.43 ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,1.51 ,100.00 ,0  ,0  ,None ,None ,None ,624.38 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,None  
2021-10-24 12:52:18,279,24.49 ,24.34 ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,11.17 ,11.43 ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,624.44 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,None  
2021-10-24 12:52:18,785,24.56 ,24.34 ,25.04 ,25.09 ,25.24 ,-0.00 ,0.00 ,0.00 ,11.17 ,11.43 ,10.22 ,10.37 ,1537.90 ,6291.28 ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,624.46 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.80 
2021-10-24 12:52:19,303,24.64 ,24.34 ,24.62 ,24.67 ,25.37 ,0.00 ,0.01 ,0.00 ,11.17 ,11.43 ,10.22 ,10.37 ,1539.36 ,6288.60 ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,624.44 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.80 
2021-10-24 12:52:19,809,24.72 ,24.18 ,24.19 ,24.27 ,25.51 ,0.00 ,0.02 ,0.00 ,11.17 ,11.43 ,10.23 ,10.38 ,1539.76 ,6286.16 ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,624.64 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.80 
2021-10-24 12:52:20,339,24.72 ,24.18 ,24.19 ,24.27 ,25.51 ,0.00 ,0.02 ,0.00 ,11.17 ,11.43 ,10.22 ,10.38 ,1540.06 ,6286.00 ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,624.55 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.80 
2021-10-24 12:52:20,848,24.72 ,24.18 ,24.19 ,24.27 ,25.51 ,0.00 ,0.02 ,0.00 ,11.17 ,11.43 ,10.22 ,10.38 ,1540.36 ,6285.80 ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,624.67 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.80 
2021-10-24 12:52:21,376,24.72 ,24.19 ,24.18 ,24.27 ,25.51 ,0.00 ,0.02 ,0.00 ,11.17 ,11.43 ,10.22 ,10.37 ,1540.46 ,6285.66 ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,624.58 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.80 
2021-10-24 12:52:21,941,24.72 ,24.19 ,24.18 ,24.26 ,25.51 ,0.01 ,0.02 ,0.00 ,11.17 ,11.43 ,10.22 ,10.37 ,1540.70 ,6285.34 ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,624.76 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.80 
2021-10-24 12:52:22,448,24.72 ,24.19 ,24.18 ,24.26 ,25.50 ,0.01 ,0.02 ,0.00 ,11.17 ,11.43 ,10.22 ,10.37 ,1540.96 ,6285.24 ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,624.72 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.80 
2021-10-24 12:52:22,976,24.72 ,24.19 ,24.18 ,24.26 ,25.50 ,0.01 ,0.02 ,0.01 ,11.17 ,11.43 ,10.22 ,10.37 ,1541.18 ,6284.96 ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,624.83 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.80 
2021-10-24 12:52:23,485,24.72 ,24.19 ,24.17 ,24.25 ,25.50 ,0.01 ,0.02 ,0.01 ,11.17 ,11.43 ,10.22 ,10.37 ,1541.44 ,6284.74 ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,624.87 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.80 
