2021-10-24 12:53:25,974,BT1             ,BT2             ,TT1             ,TT2             ,AT              ,X               ,Y               ,Z               ,BP1             ,BP2             ,TP1             ,TP2             ,HP              ,AP              ,PD   ,PC     ,HL ,EL ,BF   ,SF   ,PF   ,BV     ,rpm             ,State ,MissionState ,Setpoint ,Error ,Depth 
2021-10-24 12:53:25,976,Buffering (3/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,1.52 ,100.00 ,0  ,0  ,None ,None ,None ,625.22 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,None  
2021-10-24 12:53:26,483,Buffering (4/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,1.58 ,100.00 ,0  ,0  ,2  ,None ,None ,625.35 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,None  
2021-10-24 12:53:27,030,24.64 ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,1.56 ,100.00 ,0  ,0  ,2  ,None ,None ,625.44 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,None  
2021-10-24 12:53:27,599,24.64 ,-135.53 ,24.60 ,24.76 ,25.31 ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,11.17 ,11.43 ,10.22 ,10.37 ,1552.34 ,6282.82 ,1.54 ,100.00 ,0  ,0  ,2  ,None ,None ,625.46 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.80 
2021-10-24 12:53:28,138,24.72 ,24.19 ,24.19 ,24.39 ,25.44 ,-0.01 ,-0.01 ,0.00 ,11.17 ,11.43 ,10.22 ,10.37 ,1552.72 ,6280.60 ,1.54 ,100.00 ,0  ,0  ,2  ,None ,None ,625.42 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.80 
2021-10-24 12:53:28,696,24.72 ,24.19 ,24.19 ,24.39 ,25.44 ,-0.01 ,-0.01 ,0.00 ,11.17 ,11.43 ,10.22 ,10.37 ,1553.06 ,6280.32 ,1.55 ,100.00 ,0  ,0  ,2  ,None ,None ,625.58 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.80 
2021-10-24 12:53:29,253,24.72 ,24.19 ,24.18 ,24.39 ,25.44 ,-0.01 ,-0.01 ,0.00 ,11.17 ,11.43 ,10.22 ,10.37 ,1553.20 ,6280.14 ,1.56 ,100.00 ,0  ,0  ,2  ,None ,None ,625.55 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.80 
2021-10-24 12:53:29,822,24.72 ,24.19 ,24.18 ,24.40 ,25.44 ,-0.01 ,-0.01 ,0.00 ,11.17 ,11.43 ,10.22 ,10.37 ,1553.36 ,6279.96 ,1.56 ,100.00 ,0  ,0  ,2  ,None ,None ,625.64 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.80 
2021-10-24 12:53:30,319,24.72 ,24.19 ,24.18 ,24.40 ,25.44 ,-0.01 ,-0.01 ,0.00 ,11.17 ,11.43 ,10.22 ,10.37 ,1553.62 ,6279.76 ,1.55 ,100.00 ,0  ,0  ,2  ,None ,None ,625.65 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.80 
2021-10-24 12:53:30,490,24.72 ,24.19 ,24.18 ,24.40 ,25.44 ,-0.00 ,-0.01 ,-0.00 ,11.17 ,11.43 ,10.22 ,10.37 ,1553.62 ,6279.64 ,1.55 ,100.00 ,0  ,0  ,2  ,1  ,None ,625.60 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.80 
2021-10-24 12:53:31,820,24.72 ,24.19 ,24.18 ,24.40 ,25.44 ,-0.00 ,-0.01 ,-0.00 ,11.17 ,11.43 ,10.22 ,10.37 ,1548.26 ,6282.90 ,1.55 ,100.00 ,0  ,0  ,2  ,0  ,None ,621.94 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.80 
2021-10-24 12:53:32,337,24.72 ,24.19 ,24.18 ,24.40 ,25.44 ,0.01 ,-0.00 ,-0.01 ,11.17 ,11.43 ,10.22 ,10.37 ,1543.34 ,6286.08 ,1.55 ,100.00 ,0  ,0  ,2  ,0  ,None ,622.00 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.80 
2021-10-24 12:53:32,882,24.72 ,24.19 ,24.17 ,24.40 ,25.44 ,0.00 ,0.00 ,-0.01 ,11.17 ,11.43 ,10.22 ,10.37 ,1539.04 ,6289.24 ,1.55 ,100.00 ,0  ,0  ,2  ,0  ,None ,622.12 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.80 
