2021-10-24 12:58:49,294,BT1             ,BT2             ,TT1   ,TT2   ,AT    ,X               ,Y               ,Z               ,BP1             ,BP2             ,TP1   ,TP2   ,HP      ,AP              ,PD ,PC ,HL ,EL ,BF   ,SF   ,PF   ,BV     ,rpm             ,State ,MissionState ,Setpoint ,Error ,Depth 
2021-10-24 12:58:49,296,Buffering (4/5) ,Buffering (4/5) ,24.53 ,24.69 ,25.18 ,Buffering (1/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (4/5) ,Buffering (4/5) ,10.21 ,10.37 ,1616.36 ,Buffering (2/5) ,0  ,0  ,0  ,0  ,None ,None ,None ,639.23 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,None  
2021-10-24 12:58:49,835,24.64 ,24.17 ,24.52 ,24.70 ,25.18 ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,11.16 ,11.42 ,10.21 ,10.37 ,1616.52 ,Buffering (3/5) ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,639.30 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.79 
2021-10-24 12:58:50,336,24.64 ,24.17 ,24.52 ,24.71 ,25.18 ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,11.16 ,11.42 ,10.21 ,10.37 ,1616.66 ,Buffering (4/5) ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,639.16 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.79 
2021-10-24 12:58:50,863,24.64 ,24.17 ,24.52 ,24.73 ,25.18 ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,11.17 ,11.42 ,10.21 ,10.37 ,1616.96 ,6218.20 ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,639.27 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.79 
2021-10-24 12:58:51,371,24.72 ,24.18 ,24.13 ,24.39 ,25.29 ,-0.01 ,0.01 ,-0.00 ,11.17 ,11.42 ,10.21 ,10.37 ,1617.12 ,6215.90 ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,639.48 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.79 
2021-10-24 12:58:51,902,24.72 ,24.19 ,24.13 ,24.39 ,25.29 ,-0.01 ,0.01 ,-0.00 ,11.17 ,11.42 ,10.21 ,10.37 ,1617.28 ,6215.78 ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,639.41 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.79 
2021-10-24 12:58:52,465,24.72 ,24.19 ,24.13 ,24.39 ,25.29 ,-0.01 ,0.01 ,-0.00 ,11.17 ,11.42 ,10.21 ,10.37 ,1617.36 ,6215.74 ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,639.30 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.79 
2021-10-24 12:58:52,973,24.72 ,24.19 ,24.13 ,24.39 ,25.29 ,-0.01 ,0.01 ,-0.00 ,11.16 ,11.42 ,10.20 ,10.37 ,1617.50 ,6215.42 ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,639.48 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.79 
2021-10-24 12:58:53,502,24.72 ,24.19 ,24.13 ,24.39 ,25.28 ,-0.01 ,0.00 ,-0.00 ,11.16 ,11.42 ,10.20 ,10.37 ,1617.58 ,6215.38 ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,639.28 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.79 
2021-10-24 12:58:54,009,24.72 ,24.19 ,24.13 ,24.39 ,25.28 ,-0.01 ,0.00 ,-0.00 ,11.16 ,11.42 ,10.20 ,10.37 ,1617.68 ,6215.48 ,1.51 ,100.00 ,0  ,0  ,2  ,None ,None ,639.37 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.79 
