2021-10-24 13:09:40,050,BT1             ,BT2             ,TT1             ,TT2             ,AT              ,X               ,Y               ,Z               ,BP1             ,BP2             ,TP1             ,TP2             ,HP              ,AP              ,PD   ,PC     ,HL ,EL ,BF   ,SF   ,PF   ,BV    ,rpm             ,State ,MissionState ,Setpoint ,Error ,Depth 
2021-10-24 13:09:40,052,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,1.49 ,100.00 ,0  ,0  ,None ,None ,None ,98.79 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,None  
2021-10-24 13:09:40,575,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,1.49 ,100.00 ,0  ,0  ,0  ,None ,None ,98.83 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,None  
2021-10-24 13:09:41,116,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,1.49 ,100.00 ,0  ,0  ,0  ,None ,None ,98.85 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,None  
2021-10-24 13:09:41,630,24.73 ,-83.72 ,24.76 ,24.98 ,26.28 ,Buffering (4/5) ,Buffering (4/5) ,0.00 ,11.25 ,11.50 ,10.26 ,10.46 ,1161.74 ,10088.12 ,1.50 ,100.00 ,0  ,0  ,0  ,None ,None ,98.88 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.87 
2021-10-24 13:09:42,140,24.81 ,24.20 ,24.21 ,24.49 ,26.65 ,Buffering (4/5) ,Buffering (4/5) ,0.00 ,11.26 ,11.50 ,10.26 ,10.46 ,1161.72 ,10084.46 ,1.49 ,100.00 ,0  ,0  ,0  ,None ,None ,98.85 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.87 
2021-10-24 13:09:42,701,24.81 ,24.20 ,24.21 ,24.50 ,26.64 ,0.01 ,-0.01 ,0.00 ,11.25 ,11.50 ,10.26 ,10.46 ,1161.68 ,10083.70 ,1.47 ,100.00 ,0  ,0  ,0  ,None ,None ,98.95 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.87 
2021-10-24 13:09:43,262,24.81 ,24.20 ,24.21 ,24.50 ,26.63 ,0.02 ,-0.01 ,0.00 ,11.25 ,11.50 ,10.26 ,10.46 ,1161.72 ,10082.92 ,1.44 ,100.00 ,0  ,0  ,0  ,None ,None ,98.97 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.87 
2021-10-24 13:09:43,770,24.81 ,24.19 ,24.21 ,24.50 ,26.62 ,0.02 ,-0.01 ,0.00 ,11.25 ,11.50 ,10.27 ,10.46 ,1161.84 ,10082.26 ,1.42 ,100.00 ,0  ,0  ,0  ,None ,None ,98.97 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.87 
2021-10-24 13:09:44,294,24.80 ,24.20 ,24.21 ,24.50 ,26.60 ,0.01 ,-0.02 ,0.00 ,11.25 ,11.50 ,10.27 ,10.46 ,1161.80 ,10081.46 ,1.42 ,100.00 ,0  ,0  ,0  ,None ,None ,99.05 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.87 
2021-10-24 13:09:44,799,24.80 ,24.19 ,24.21 ,24.50 ,26.59 ,0.01 ,-0.02 ,0.00 ,11.25 ,11.50 ,10.26 ,10.46 ,1161.88 ,10080.72 ,1.42 ,100.00 ,0  ,0  ,0  ,None ,None ,99.02 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.87 
2021-10-24 13:09:45,319,24.80 ,24.19 ,24.21 ,24.50 ,26.58 ,0.01 ,-0.02 ,0.00 ,11.25 ,11.50 ,10.26 ,10.46 ,1161.92 ,10080.00 ,1.42 ,100.00 ,0  ,0  ,0  ,None ,None ,99.09 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.87 
2021-10-24 13:09:45,879,24.80 ,24.20 ,24.21 ,24.50 ,26.57 ,0.01 ,-0.02 ,0.00 ,11.25 ,11.50 ,10.26 ,10.45 ,1161.86 ,10079.32 ,1.42 ,100.00 ,0  ,0  ,0  ,None ,None ,99.09 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.86 
