2021-10-24 14:32:03,683,BT1             ,BT2             ,TT1             ,TT2             ,AT              ,X               ,Y               ,Z               ,BP1             ,BP2             ,TP1             ,TP2             ,HP              ,AP              ,PD   ,PC     ,HL   ,EL   ,BF   ,SF   ,PF   ,BV     ,rpm             ,State ,MissionState ,Setpoint ,Error ,Depth 
2021-10-24 14:32:03,684,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (1/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (1/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (0/5) ,Buffering (1/5) ,1.57 ,100.00 ,None ,None ,None ,None ,None ,606.49 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,None  
2021-10-24 14:32:03,842,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (2/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (2/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (0/5) ,Buffering (2/5) ,1.57 ,100.00 ,None ,None ,0  ,None ,None ,606.49 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,None  
2021-10-24 14:32:04,002,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (3/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (3/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (0/5) ,Buffering (3/5) ,1.57 ,100.00 ,None ,None ,0  ,None ,None ,606.49 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,None  
2021-10-24 14:32:15,960,Buffering (3/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,25.78 ,Buffering (4/5) ,Buffering (4/5) ,-0.01 ,Buffering (2/5) ,Buffering (2/5) ,10.07 ,10.31 ,Buffering (2/5) ,6372.60 ,1.57 ,100.00 ,0  ,0  ,0  ,None ,None ,607.33 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,None  
2021-10-24 14:32:16,508,Buffering (4/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,25.79 ,0.02 ,-0.01 ,-0.01 ,Buffering (3/5) ,Buffering (3/5) ,10.07 ,10.31 ,Buffering (3/5) ,6371.82 ,1.50 ,100.00 ,0  ,0  ,0  ,None ,None ,607.42 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,None  
2021-10-24 14:32:17,075,24.62 ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,25.79 ,-0.03 ,-0.02 ,-0.00 ,Buffering (4/5) ,Buffering (4/5) ,10.07 ,10.31 ,Buffering (4/5) ,6371.18 ,1.50 ,100.00 ,0  ,0  ,0  ,None ,None ,607.22 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,None  
2021-10-24 14:32:17,634,24.69 ,-69.28 ,24.62 ,24.68 ,25.79 ,-0.03 ,-0.01 ,0.01 ,11.13 ,11.38 ,10.07 ,10.32 ,1626.74 ,6370.40 ,1.51 ,100.00 ,0  ,0  ,0  ,None ,None ,607.42 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.72 
2021-10-24 14:32:18,127,24.77 ,24.23 ,24.12 ,24.19 ,25.71 ,-0.03 ,-0.01 ,0.01 ,11.13 ,11.38 ,10.07 ,10.32 ,1626.76 ,6368.10 ,1.51 ,100.00 ,0  ,0  ,0  ,None ,None ,607.29 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.72 
2021-10-24 14:32:18,654,24.77 ,24.23 ,24.12 ,24.19 ,25.71 ,-0.03 ,-0.04 ,0.00 ,11.12 ,11.37 ,10.07 ,10.32 ,1626.68 ,6367.94 ,1.50 ,100.00 ,0  ,0  ,0  ,None ,None ,607.55 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.72 
2021-10-24 14:32:19,162,24.77 ,24.23 ,24.12 ,24.18 ,25.71 ,-0.03 ,-0.04 ,0.00 ,11.12 ,11.37 ,10.07 ,10.32 ,1626.54 ,6367.84 ,1.51 ,100.00 ,0  ,0  ,0  ,None ,None ,607.53 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.72 
2021-10-24 14:32:19,688,24.77 ,24.23 ,24.12 ,24.19 ,25.71 ,-0.05 ,-0.05 ,-0.00 ,11.12 ,11.37 ,10.07 ,10.32 ,1626.54 ,6367.50 ,1.51 ,100.00 ,0  ,0  ,0  ,None ,None ,607.64 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.72 
2021-10-24 14:32:20,196,24.77 ,24.23 ,24.12 ,24.19 ,25.71 ,-0.05 ,-0.05 ,-0.00 ,11.12 ,11.37 ,10.07 ,10.32 ,1626.58 ,6367.30 ,1.51 ,100.00 ,0  ,0  ,0  ,None ,None ,607.64 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.72 
2021-10-24 14:32:20,722,24.77 ,24.23 ,24.12 ,24.19 ,25.71 ,-0.04 ,-0.03 ,-0.00 ,11.12 ,11.37 ,10.07 ,10.32 ,1626.74 ,6366.98 ,1.51 ,100.00 ,0  ,0  ,0  ,None ,None ,607.64 ,Buffering (0/1) ,STOP  ,IDLE         ,None     ,None  ,10.72 
